Observed m_z,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31,pca_32,pca_33,pca_34,pca_35,pca_36,pca_37,pca_38,pca_39,pca_40,pca_41,pca_42,pca_43,pca_44,pca_45,pca_46,pca_47,pca_48,pca_49,pca_50,pca_51,pca_52,pca_53,pca_54,pca_55,pca_56,pca_57,pca_58,pca_59,pca_60,pca_61,pca_62,pca_63
925.4807,[M-H]-,4.136009155119762,-0.47505959699242506,-0.45522432264693186,0.9843633431535161,0.9492922403491226,0.13963095804188821,0.18608306189339732,-0.07869633690647788,-0.40340124919486886,-0.025197566055809043,-0.33268756828564455,-0.23098160097018927,-0.2417193590289944,-0.059986394133848,0.136930152458714,0.04598322143724013,0.04064985065199367,0.07304761665177419,-0.22748261288846683,-0.023919920023946564,0.01317608752584329,0.01635537777589241,-0.07600817287605295,-0.007549936959013873,1.3950995600856678e-16,2.0187399945245663e-16,-3.3637898855350115e-16,2.9219250832952556e-16,1.8014846568967683e-18,-5.711472957742954e-17,-1.6202700220624318e-16,-5.582801649250477e-17,-1.430476900222932e-17,-4.2071903809102366e-17,-2.1433373555250306e-17,-2.874660456621423e-17,1.2485754941270459e-17,-2.4450807454873697e-17,4.240799894236607e-17,3.3664604570957694e-17,-4.043207985968306e-17,9.584383777520064e-19,2.88266281042174e-17,4.8823646211501875e-17,2.5408149759363894e-17,1.6903313913522597e-17,6.54746450191106e-18,-2.2517370840927478e-17,-2.7460033066199957e-17,-3.0904568778311944e-17,3.5961164244148304e-17,4.65550759843232e-17,-1.4123015666531964e-16,9.825236234762537e-17,-1.5014698472507281e-16,7.398771228895777e-18,1.5729092511813263e-16,-3.344299566414613e-19,6.005287199330537e-17,-4.175273643775338e-16,-3.479674478705377e-16,3.463326990083367e-16,1.0641604645558309e-16,-3.3501067746761703e-16
1107.5929,[M-H]-,-0.6011496736217206,0.9664743769243899,1.2464955516971377,-0.10293711955048125,1.3496810870609686,-0.1704701936870303,-0.14680689657656484,-0.4269224023859799,0.06664128846815524,1.001410908135224,0.09564614527825378,-0.20671861600183972,0.26726745291347975,-0.022565908090987862,0.45738793445466736,0.08746708376952769,-0.5995656316860045,-0.28504569269562907,0.046910822137823154,-0.5076734502485356,0.027920745420028162,-0.3755312648003791,0.017872984853061553,-0.29189941266286185,-5.117991093669504e-17,1.0708487664456836e-16,1.85351515351274e-18,-2.73468289899379e-20,-1.268620973551227e-18,-1.2205963430102943e-18,-1.2503345834253746e-18,1.393501106378452e-19,-4.2403164950541054e-19,2.0425463219487293e-18,-4.726250984401639e-19,-2.0026919791626297e-19,9.277440509619914e-19,-1.8908771538516963e-19,8.446183821627369e-19,-2.768998793829094e-19,-2.453254949560977e-19,-7.855324723373072e-19,-3.0969429089043784e-19,2.458248492485655e-19,1.610066364986472e-19,-1.619453102030121e-20,9.512073205263162e-20,8.281502998824536e-20,2.7844701736728225e-21,2.4881289775403403e-21,-9.910989577240035e-22,1.203501569996247e-21,-9.752172527329491e-22,-1.5970022709062557e-22,5.391074467821599e-22,-1.5829046391547618e-21,1.1973709365536319e-21,-5.4610669608389845e-22,-3.1590714860881275e-22,-1.7603613082191522e-22,5.555309248106955e-22,2.247260074614018e-22,-2.398305111135393e-22,-1.1454732549350342e-23
797.4684,[M-H+HCOOH]-,-0.4084092472765002,0.050668080360410095,-0.9862462149447946,-0.09582080610493071,-0.004674852375888848,0.3803380481153292,-0.5165575497145886,0.1835060782963275,-0.2021998956545169,0.13906459073415797,0.19214047334519802,0.13396615119206418,0.224047856362159,-0.5217125972310297,-0.1586617852786579,-0.0915248408243853,-0.05078592972072672,-0.015136672097515841,-0.047531980600783535,0.001544880124489431,0.16962315803901631,-0.00623175335657825,2.78617282711918e-05,0.006559348224281476,-6.31718309496495e-17,9.909000708924333e-17,3.331271457060923e-17,8.165026090300173e-17,-4.652170597732402e-17,1.6613601499188292e-18,-3.835391459091135e-17,2.022547309656333e-16,-2.1708931231254077e-17,-1.5979808046015318e-17,1.8110953946738083e-17,-4.755904662107867e-17,2.611532247034382e-17,-6.496711825636944e-17,5.385788146601578e-17,8.162551604997951e-17,-4.448094316475459e-17,-2.3562658886771403e-17,-4.753934173069693e-17,-3.84245807554392e-17,-1.2785733305427006e-17,-3.388916597430896e-18,-6.130955355384811e-17,2.3965194558135896e-17,2.969030104381054e-17,-2.6043129888132644e-16,2.33994100736446e-16,-6.579749570698534e-17,-7.289866227244928e-17,-6.657010872580637e-16,-3.668179310274796e-16,-1.531432550387873e-16,1.3562631189215366e-17,-7.578450964215292e-17,7.246278075695304e-17,-5.066773101640581e-17,4.7797777487047484e-18,-4.5780994504596055e-17,4.038483757837998e-16,1.9695760885117258e-16
807.4908,[M-H]-,0.7547249568519158,0.03479346952734971,-0.3842790096051368,-1.0656501905452018,-0.7863409576528418,0.41781913911940016,-0.7447877840428907,-0.04187621788955993,-0.13246410198141115,-0.045997819151798534,0.21282653079182579,0.37574904778663804,-0.4545324145497817,-0.4746877002834407,-0.11206092432009132,0.09625913274987924,-0.1877892489475938,0.05731860052475748,-0.008333930787394165,-0.04363574975704284,0.13614823201654647,0.025823078452518366,-0.011466383807075185,-0.018889021738207327,4.0040394590504753e-17,1.5549818390507486e-16,-1.2212204076567064e-16,-2.7828572474960013e-16,1.3480614294914932e-16,4.233991491037317e-17,1.8307557715479175e-17,-3.799878608860326e-16,-1.617862125106732e-16,-1.7419365777198677e-17,-1.8240232048385342e-16,1.4220593558892859e-16,-1.45221853865604e-16,-1.1456952811174945e-16,2.38721812563916e-17,3.864474075192123e-17,-1.2822006754986992e-16,2.083976500356697e-17,8.351147779218155e-17,1.3963399850115702e-16,4.13659332116172e-17,4.392778992221735e-17,3.04360687126404e-17,-2.889471215793767e-17,-1.3862537060901602e-16,-1.1836775203596615e-16,1.6883560921236664e-16,3.531499487451261e-16,-2.0430769972819248e-16,1.6175724342671042e-16,1.6734742620834575e-16,1.960201979660866e-17,6.376531616476493e-17,-7.183152970071522e-17,-5.886446922747144e-17,3.2355169634439277e-16,-7.605764520233428e-17,-1.2552964996980436e-16,1.7373222727406248e-16,-1.6819539522492425e-16
681.4214,[M-H+HCOOH]-,-0.6750442948923023,0.21660554726588066,-0.7362916757869649,-0.7223888448841251,1.3339597229768698,-0.4747410500210884,-0.13121609461772574,-0.8384029596326655,0.9014656243452895,-0.08445677637516343,-0.66304421148447,-0.05280695617926154,-0.5200825329634157,0.49126214564555465,-0.9763272171390038,-0.6204375794419718,-0.28600165220690793,-0.09605672615120762,-0.06841065696381363,0.2797739192371189,0.042466611028787966,-0.008277330576740169,-0.0068659372210047,-0.10315293707242937,-2.258339432785925e-16,1.6808900142942918e-17,-1.9127407670889992e-17,-7.269562147633316e-17,-2.590027182316738e-16,7.59929373093014e-17,-4.995518801127243e-16,-8.979513643949183e-17,7.554741369729613e-18,-1.909074755168803e-17,-1.3515462444152752e-17,2.4678092604871347e-17,2.812453311936462e-18,-1.111755427261728e-17,-2.2655291465129415e-17,1.4247969807191584e-17,9.207477624138495e-18,9.330139953866675e-18,7.526418598028202e-18,-1.482621734231643e-18,-1.844796855827024e-18,-6.2862193411282665e-18,3.56376906602373e-18,6.258965349288861e-18,8.934142958410899e-19,6.084512070114717e-20,3.3755562567470827e-20,1.4796235753973023e-19,4.6821464795084194e-20,-2.764538985646965e-20,1.1641520421615016e-19,-6.109849796661864e-20,2.1987065615323724e-20,5.522528103387954e-21,5.0659076991624094e-21,6.748008321671663e-21,-1.0412188625150772e-20,-1.1208742561058735e-20,1.1828205472044234e-21,-1.441421762587102e-20
925.4798,[M-H]-,3.952912308872363,-0.8468337422814728,-0.6397676851911193,0.44782378335797934,0.991495231355643,0.40448939574871334,0.486830029248791,0.13510241811725315,-0.2070697925407238,-0.17215994865840123,-0.13326280697268433,0.29523216227754395,0.13601771875650676,-0.00023089066850422104,-0.029090764508311447,-0.027967469071418147,-0.11799420676115407,-0.07743425152386417,1.0064839489728392,0.16598558135329355,0.10863817963824089,-0.0595025344203273,0.27104484256391287,0.00895765845132197,-5.117991093669539e-17,1.0708487664456905e-16,1.8535151535128886e-18,-2.7346828990000434e-20,-1.2686209735510834e-18,-1.2205963430105512e-18,-1.2503345834248616e-18,1.3935011063760922e-19,-4.2403164950555503e-19,2.0425463219489096e-18,-4.726250984398297e-19,-2.0026919791630228e-19,9.27744050962066e-19,-1.8908771538508268e-19,8.446183821627017e-19,-2.7689987938294264e-19,-2.4532549495616096e-19,-7.855324723373348e-19,-3.096942908903587e-19,2.458248492485209e-19,1.6100663649858147e-19,-1.6194531020224902e-20,9.512073205247864e-20,8.28150299881055e-20,2.7844701736195683e-21,2.488128977365431e-21,-9.91098957810481e-22,1.2035015699542297e-21,-9.752172523948566e-22,-1.5970022746194113e-22,5.391074467880228e-22,-1.582904639142914e-21,1.1973709366308265e-21,-5.461066959083099e-22,-3.1590714861272137e-22,-1.7603613045059967e-22,5.555309248028783e-22,2.247260071995266e-22,-2.398305108531298e-22,-1.1454732506355908e-23
793.4374,[M-H]-,4.034544538064086,-0.952470706006911,-1.1738806386028733,0.3550852714505568,0.9378642718773464,0.20363560845910195,-0.24523528462075395,-0.11893891226241297,-0.25737690174043426,0.2213112655610651,-0.1310471836820916,0.2442897893554684,0.13491821173002833,0.2717675767152574,0.006195109922381332,0.0004035135878928138,0.09150553861302428,-0.08534240499847898,-0.24717606614050366,-0.06008988346961481,-0.073468400270021,0.02048503843666542,-0.048807298843961254,0.0020635606803901946,-2.4145105842258004e-16,1.2528694855423177e-17,3.3921819680820986e-16,-2.938272858274754e-16,-2.8208256109854866e-18,5.569256847249909e-17,1.5814953877978953e-16,5.97389278832656e-17,8.932418654893546e-18,4.0763214097598316e-17,9.097396925784107e-18,1.6647239174533327e-17,-1.8550138868210388e-17,1.034201846289334e-17,-2.799903470491346e-17,-1.9996939850058352e-17,2.858797680838454e-17,9.10991402828209e-18,-1.6392564946666507e-17,-2.0235319846469002e-17,-7.841425314463303e-18,-4.174629997216272e-18,3.138359554253189e-18,1.590550593961206e-17,-1.8136652046178397e-17,-6.256771953490754e-17,8.508350899024577e-17,1.017744484797731e-16,3.045730816802644e-16,-1.3703991991162497e-16,3.089180319499456e-16,1.7286143170860288e-16,-3.066251503291964e-16,6.654912827835849e-17,2.5884431606112367e-16,1.3505808418965365e-16,-1.8851104171541903e-16,3.6779799359344084e-16,1.224907605556979e-16,6.238135476538967e-17
845.4891,[M-H+HCOOH]-,-1.2284205356703841,-3.073100772429436,0.840748319428567,0.061790333415824863,-0.11900003848094544,0.5615572548537506,0.2551756992676242,-0.10354045493371053,-0.291831099935205,0.21180720593063362,-0.06745693650728946,0.07562334883763167,0.23786797153650022,0.059626380323936544,-0.07887721693458175,-0.10638913835807011,0.016765422919033744,-0.08444275573933892,-0.057902924935633,0.011048791163764395,-0.03461701147764356,0.028242288293172782,0.037412216990532224,-0.010870826686942767,9.821542661471635e-17,1.782810697733274e-16,-6.497007212475972e-17,-3.726211643135912e-17,-1.9215725862183786e-16,1.0781550773579273e-17,4.072720053517546e-17,-2.4009139338961677e-17,-1.0350318414907344e-16,2.63235433677457e-16,1.5097693489955922e-16,3.3717293711447335e-17,-2.500461399361274e-16,1.9096193388795032e-16,-5.9752372938768475e-18,-1.299756930594012e-16,2.303963686817809e-16,1.3660241640140415e-16,6.117841651910055e-17,-3.0736711624767047e-16,-4.3366997929320144e-17,-2.4557422580504932e-17,-2.1118738907344696e-16,-1.4255079772684733e-17,-1.0439539665906434e-16,1.2036899177311994e-17,6.201026535277795e-17,4.5419427398338865e-16,1.134086348628385e-16,-1.420004842054513e-17,6.939710498697287e-17,-1.512081492527984e-16,-1.676682834112624e-16,3.655605117030846e-17,-2.963176447840438e-16,-3.1990426376762656e-16,-5.869861803949408e-17,-1.623449318705971e-16,8.106321159473997e-17,8.043219101412717e-17
977.5317,[M-H+HCOOH]-,-0.4492016062631318,0.5664172328424567,-0.07146979241777987,0.5561691685441844,-0.07097827083435086,0.19187107459468636,0.08807127164152617,0.19586036134660617,-0.1978568449087937,-0.21409345087612724,0.1173749290284485,-0.49341104807339753,-0.17713762869682056,-0.024572047311618633,0.08757844319283249,0.008092969420956449,0.09563117258805565,0.08068981234624704,0.021943267850498886,-0.0015047047254899688,0.00725276511715846,-0.019576446158903058,0.002137471717591755,-0.007438275264172327,-1.1178687689410864e-16,7.65982292516628e-17,5.70333532544968e-17,-4.292922976619722e-17,3.6490147144515235e-17,1.4832597158356674e-17,-1.0986965029041019e-16,5.910874964068685e-17,-1.3548454321869738e-16,-1.6822956915685192e-17,-1.0621565662285829e-17,1.5114916747571997e-17,-1.359616146960055e-16,1.796684739033857e-17,1.080197714241832e-16,5.033478560947384e-17,-9.441662578728435e-17,4.9128598770567905e-17,7.492778022449014e-17,1.6103089497416583e-16,6.537629225862236e-17,4.7075422787464393e-17,1.1256687410838064e-16,-4.866993975563797e-17,-1.5080646595019672e-16,-2.892676035850796e-16,-7.622542649716468e-16,2.265121909304219e-16,2.554576316340599e-16,-2.809324690971101e-16,4.414898425978309e-17,1.743155206627848e-16,2.892157956184872e-16,1.141959126779123e-16,-1.5822241575913366e-16,-2.3514825020499262e-17,-1.2542238577108392e-17,-1.159341500135842e-17,3.65641978411659e-18,1.565142981123506e-18
1007.5422,[M-H+HCOOH]-,-0.5680514303955443,0.7707489223127264,0.41603998540458437,0.26405567726586354,0.8633299896558349,-0.0043773444644679286,-0.20990575977364737,-0.28128334396175303,0.10127363613448792,-0.4476513099465026,-0.0065607577447406,-0.25572781030516695,-0.24732705822156414,-0.0861145447542511,-0.5292415212982292,0.4494281902387126,0.42233921902593186,-0.20326376667124255,-0.09664599131061967,0.574282189315493,0.023159669356147508,-0.03501814983641124,0.01960252791770882,-0.25162629510933493,1.2347412140520272e-16,1.9736085314619303e-16,2.2834437977915413e-17,7.264092781835298e-17,2.564654762845714e-16,-7.843412999532222e-17,4.970512109458741e-16,9.007383666076742e-17,-8.402804668740369e-18,2.3175840195585786e-17,1.2570212247272638e-17,-2.5078631000703772e-17,-9.569652100122436e-19,1.0739378841847155e-17,2.4344528229454653e-17,-1.480176956595717e-17,-9.698128614050374e-18,-1.0901204898540996e-17,-8.145807179808907e-18,1.9742714327289488e-18,2.166810128824487e-18,6.253830279087865e-18,-3.3735276019187276e-18,-6.093335289312627e-18,-8.878453554942865e-19,-5.586886274673194e-20,-3.573776048293447e-20,-1.4555535439999766e-19,-4.877189930012797e-20,2.732598940223172e-20,-1.153369893226679e-19,5.793268868763514e-20,-1.9592323742224278e-20,-6.614741495036016e-21,-5.697721996806437e-21,-7.100080582862097e-21,1.1523250474917513e-20,1.1658194575967859e-20,-1.662481569143244e-21,1.439130816052217e-20
