Observed m_z,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15
925.4807,[M-H]-,0.8003116551065936,1.19482323381793,-0.3900317971554476,0.17870433642487302,-0.6012887097894056,0.09529669542135541,0.12897396178352183,0.15357301132245463,0.059278984089287994,-0.04213226025318423,-0.0036734420182210053,-0.303633095679416,0.10739362193860935,-0.41647887945522954,0.44910886257462457,-0.2903315427411561
1107.5929,[M-H]-,-0.8335117616596756,5.71595074114563e-05,0.4657605775898481,0.14942624879871755,-0.5869183928628869,0.18138878020610208,-0.507205101997639,0.044301337752095125,0.6107822430184943,-0.2675423428149058,0.08208131116996209,0.2090815236293352,0.031168052000884273,-0.03780773438889749,0.262229841982097,0.6451645922675856
797.4684,[M-H+HCOOH]-,0.27995557781275693,-0.45540667349900915,0.2940693355308789,0.40655453374336675,0.21065314180797348,0.20840592124443522,0.1723337624423904,0.6172348013342348,0.09653434702165334,0.013910408538781269,0.024181102476216246,0.018862636250441742,0.005280755353618327,-0.005131286540918709,-0.0024466787203526103,-0.002754886586521343
807.4908,[M-H]-,0.42500125726085564,0.39115602566744867,0.11642523399842877,-0.08040182783120284,0.327049953415772,0.11742171588409747,-0.39612785281357665,-0.12580891434803773,-0.027086453774881804,-0.11977157245235559,-0.22430070555901138,-0.008910512618433494,-0.004788919113177323,0.0036242380447229264,-0.02316200123351729,0.012572024639965644
681.4214,[M-H+HCOOH]-,0.07132598571611827,-0.43448448145182095,-1.041843624532432,-0.026776575003661252,-0.330839935638913,-0.6264640923599377,0.18703648724385538,-0.03472302309914445,0.167048341265247,-0.31738169492508106,-0.1044549847081476,-0.45716908061422246,0.44847559491801325,0.07882019675597524,0.07760388063271172,-0.015931875848050458
925.4798,[M-H]-,0.46035934554445695,1.4762888950826614,-0.2613613107091114,-0.08263749210726472,-0.16266539126729504,-0.08724430728440963,0.9066297522024596,-0.014534397121218222,0.28114772727819387,-0.05711065458675595,0.17745389939169015,-0.13052917475573445,0.1826955621635282,0.4543329524988141,-0.3786233647424649,0.2275319529917111
793.4374,[M-H]-,0.6185547682403326,1.242295689958429,-1.2645090913673451,0.38404975015450665,-0.7760688159200678,-0.1230949757891334,0.38991924609141776,0.1490208592733005,-0.15291459899339274,-0.08428474639893802,-0.16965298190007874,0.3096938140811248,-0.16227943958890229,-0.024356041996745556,-0.024979402478105633,0.01284107686714927
845.4891,[M-H+HCOOH]-,-2.007685668866684,0.3633357268895694,-0.2483781317060973,0.009154538726205632,0.08240685116320988,-0.2016912097874313,0.20439519117468768,0.20664416218306803,-0.31079718241016424,0.3109449214631404,-0.08455427030214288,-0.06583410984678356,0.005991384370421482,-0.03392673537624733,0.06711290651343357,0.08988130945276532
977.5317,[M-H+HCOOH]-,0.21360388793996923,-0.2614462609356902,0.34735832687466733,-0.07593110289709017,-0.1542534109105697,-0.08874563788663171,-0.0387291158034927,-0.02397676950737451,-0.08298132403707043,0.06323805193969405,-0.06244623005000839,-0.01363657252003317,-0.018770201013210613,-0.02183643180582997,-0.02269107971563183,0.02372521456320244
1007.5422,[M-H+HCOOH]-,0.2136038879399692,-0.26144626093569023,0.34735832687466733,-0.07593110289709006,-0.1542534109105696,-0.08874563788663171,-0.03872911580349237,-0.02397676950737478,-0.08298132403707008,0.06323805193969394,-0.06244623005000829,-0.01363657252003308,-0.01877020101321066,-0.021836431805829927,-0.022691079715631782,0.023725214563202455
1285.6451,[M-H+HCOOH]-,0.21360388793996923,-0.26144626093569023,0.34735832687466733,-0.07593110289709004,-0.1542534109105696,-0.08874563788663206,-0.03872911580349254,-0.02397676950737451,-0.08298132403707091,0.06323805193969415,-0.06244623005000824,-0.01363657252003317,-0.01877020101321063,-0.021836431805829955,-0.02269107971563181,0.02372521456320248
1239.6361,[M-H+HCOOH]-,0.21360388793996923,-0.2614462609356902,0.34735832687466733,-0.07593110289709003,-0.15425341091056957,-0.08874563788663241,-0.03872911580349254,-0.02397676950737444,-0.08298132403707068,0.06323805193969405,-0.06244623005000831,-0.01363657252003311,-0.018770201013210582,-0.0218364318058299,-0.022691079715631838,0.023725214563202514
825.5005,[M-H]-,0.4250012572608554,0.39115602566744895,0.1164252339984289,-0.08040182783120332,0.3270499534157721,0.11742171588409758,-0.39612785281357726,-0.12580891434803776,-0.02708645377488145,-0.11977157245235562,-0.2243007055590115,-0.00891051261843388,-0.004788919113177179,0.0036242380447228514,-0.02316200123351746,0.012572024639965644
961.5402,[M-H]-,0.2136038879399692,-0.26144626093569023,0.34735832687466733,-0.07593110289709004,-0.1542534109105696,-0.08874563788663206,-0.038729115803492455,-0.023976769507374533,-0.08298132403707068,0.06323805193969415,-0.06244623005000836,-0.01363657252003315,-0.01877020101321066,-0.021836431805829982,-0.02269107971563186,0.023725214563202295
799.4839,[M-H+HCOOH]-,0.17251790050235924,-0.3032974903143488,0.29030152105255164,-0.33506874746737014,-0.1898081108924267,0.20072579747487027,-0.019373769932638125,0.044206513979534075,-0.5435533385543726,-0.5072201458757414,0.477168949490004,0.03705880786487897,-0.009364207479296081,0.002706828016919928,-0.022808628380694473,-0.025488840359078255
947.5205,[M-H+HCOOH]-,0.17251790050235924,-0.3032974903143488,0.29030152105255164,-0.3350687474673702,-0.1898081108924267,0.20072579747487027,-0.019373769932638125,0.04420651397953409,-0.5435533385543728,-0.5072201458757413,0.47716894949000305,0.03705880786487897,-0.009364207479295908,0.002706828016919969,-0.022808628380694636,-0.02548884035907849
1139.5831,[M-H+HCOOH]-,-1.139825693773003,0.2710495348370764,0.5693680788605509,-0.10346662251704175,-0.1343676758389694,-0.0010347226656498031,0.238456490575134,-0.10344570001898164,0.6501085662786718,-0.1904481144506029,0.16829266644236326,0.20237550848327784,0.007385851821514539,-0.0253670006252651,0.02286106437511639,-0.15117050994761366
1371.6779,[M-H]-,0.21360388793996923,-0.26144626093569023,0.34735832687466733,-0.07593110289709003,-0.1542534109105696,-0.08874563788663206,-0.03872911580349245,-0.023976769507374537,-0.08298132403707065,0.06323805193969412,-0.06244623005000832,-0.013636572520033158,-0.018770201013210672,-0.021836431805829944,-0.022691079715631803,0.02372521456320249
811.4834,[M-H+HCOOH]-,-0.04186715096843247,-0.4131888931985187,-0.3871206007476766,0.05884754934015488,-0.08896735284375978,-0.28009516040781857,-0.021365446667193616,-0.11455586696668126,-0.3048894596477705,0.15056015173761703,-0.1350704443224767,0.4351182505240157,0.173981409535829,0.0028719477544580413,0.03150558691567791,0.0042179517828273465
1165.6014,[M-H+HCOOH]-,0.09479397899885778,0.6621505274601249,0.2396705892740478,-0.3220139106623626,0.7244791744508445,-0.046504359995620574,0.2895315986050287,-0.2662704316847281,0.14614191312296598,-0.12986855502120304,-0.10848991076669297,0.0827517799064714,0.0004347966094110632,-0.022894100040569534,0.010299996849558882,-0.05473992555358849
1315.6541,[M-H+HCOOH]-,0.21360388793996923,-0.26144626093569023,0.34735832687466733,-0.07593110289709003,-0.1542534109105696,-0.08874563788663206,-0.03872911580349245,-0.023976769507374537,-0.08298132403707065,0.06323805193969412,-0.06244623005000832,-0.013636572520033158,-0.018770201013210672,-0.021836431805829944,-0.022691079715631803,0.02372521456320249
799.4855,[M-H+HCOOH]-,-0.11660339032202816,0.00954824085698568,0.47060368215028625,-0.31754318572824913,0.24317581012450282,-0.25267171376635034,0.6469303356151136,-0.1644382868440648,0.09024704286077655,0.053141069370846984,0.053364564742310217,0.07802572000487208,-0.013546485290622575,-0.04835476989112218,0.010770918367444338,-0.04358673563035174
521.3857,[M-H+HCOOH]-,-0.11345098542743376,-1.1891589346388525,-1.6877806717761554,-2.172898404760738,-0.33730776167176046,1.9424790452836687,0.3553825073620374,0.10898981011916008,0.2452761294423557,0.21375779561217234,-0.22832273622061647,0.006989114982157462,0.00882109031657324,-0.0003797328891926242,0.0017884675403810496,0.0033994285726991124
1325.6394,[M-H]-,0.6089353807549845,0.7798895149719386,-0.050708047547338285,0.005872879012347991,0.05752593894135012,0.2042322508760112,-0.33607818276217083,-0.08173186966322553,0.04551275072916264,0.4177656508635582,0.3972085756921878,-0.009471230614708876,0.10053516222560846,0.013997906688904407,0.020033252750999944,-0.0015447729730677564
1137.5745,[M-H+HCOOH]-,0.49135294713364264,0.19719561310412945,0.06313624265464061,0.4020838088092531,0.6919565061343159,0.4145732750151648,-0.18506497456769516,0.5154026564935721,0.1524292172838428,-0.16909921585326906,-0.1376733730327873,0.02358869615204125,0.01926203725365179,0.020329383309633717,-0.002917600238237865,-0.013908076509757769
