Observed m_z,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
1239.6361,[M-H+HCOOH]-,-0.9972927561090033,0.24494568595055644,-0.8274235303582573,-0.07927158770434375,0.2786482279076341,-0.19595858069148234,0.33003460824549435,0.2231969335526502,0.10939000376187863,-0.09010621341615106,-0.24822905591012404,0.004615114018920033,0.09781549182812706,0.22536831003411492,0.2040626240186943,-0.12046192830524355,-0.07002560665110885,0.07743420617679433,-0.015886645620408157,0.05276626272219179,-0.010537490531814483,0.007473595022274191,-0.025285634040629907,-0.043030401185185606,0.0003811044968373838,0.042360205278009135,-2.0221425190407624e-16,4.909783514368521e-17,4.065875296538087e-18,2.449490822138411e-17,-1.7624389844772398e-16,-1.2826306032282523e-17
825.5005,[M-H]-,2.590372506108927,1.7728978248269127,1.102567081283971,-0.5062108452735843,-0.6380462666932929,-0.5330748233062017,0.7940225274062614,-0.06612319002306355,0.806316020079397,0.02643679018706915,-0.18139119121621017,0.5228222254141511,0.036714788336020675,-0.3996848507200403,-0.26383016522880826,0.27061989667661146,0.13628964381592543,0.2036555488109308,-0.036156301347130784,-0.025547286390330007,0.10571811858256464,0.04439391756905139,0.06550776970872475,0.006978499623010668,0.009334647320511421,-0.02531652841757189,-1.5275861182946285e-16,-3.8450611410863665e-16,-4.1926071092593047e-16,4.931003097810636e-16,-2.514849743586552e-16,6.177967368347965e-16
961.5402,[M-H]-,-0.9972927561090033,0.24494568595055644,-0.8274235303582573,-0.07927158770434375,0.2786482279076341,-0.19595858069148234,0.33003460824549435,0.22319693355265013,0.1093900037618789,-0.09010621341615133,-0.24822905591012362,0.0046151140189200305,0.09781549182812722,0.22536831003411475,0.20406262401869418,-0.12046192830524338,-0.07002560665110878,0.07743420617679425,-0.01588664562040825,0.052766262722191856,-0.010537490531814367,0.007473595022274249,-0.025285634040629928,-0.04303040118518559,0.0003811044968374075,0.042360205278009086,-2.0221425190406924e-16,4.909783514370044e-17,4.065875296545853e-18,2.4494908221384365e-17,-1.762438984477235e-16,-1.282630603227866e-17
799.4839,[M-H+HCOOH]-,-0.9689057959088228,0.4017683255278137,-0.6637162665978671,0.10718274328825,0.3176071754667875,-0.19651141456530133,0.7469567797485831,-0.4795908912506909,-0.25689804189501664,-0.3089514460203708,-0.06724999394315889,-0.041911057040917056,0.1661703487740796,0.04774433656548193,-0.29913645950556694,-0.04937152990653698,0.01963965653931212,-0.5143120041838908,-0.07247004703869676,-0.5388188591685777,-0.1341565376827933,-0.01608590040054874,-0.0015152866970958455,0.008319653420953784,-0.005473179671841609,-0.0008555727816615022,-8.781442749928966e-17,9.468090623793763e-17,-2.904466804110754e-16,-2.9860674087800983e-17,1.972276781170759e-17,-8.236692334764195e-17
947.5205,[M-H+HCOOH]-,-0.9689057959088228,0.4017683255278137,-0.6637162665978671,0.10718274328825,0.3176071754667875,-0.19651141456530133,0.7469567797485831,-0.4795908912506909,-0.25689804189501664,-0.3089514460203708,-0.06724999394315888,-0.04191105704091708,0.16617034877407974,0.047744336565481896,-0.29913645950556705,-0.04937152990653666,0.019639656539312204,-0.5143120041838909,-0.07247004703869707,-0.5388188591685783,-0.13415653768279345,-0.016085900400548733,-0.001515286697095838,0.0083196534209539,-0.005473179671841643,-0.0008555727816614576,-8.781442749930577e-17,9.468090623790882e-17,-2.9044668041110167e-16,-2.986067408782372e-17,1.972276781169657e-17,-8.236692334766099e-17
1139.5831,[M-H+HCOOH]-,-1.1687868842965699,0.15297606853567464,0.9583367396779678,-0.31849764444030637,1.4482780498925156,1.260568967895072,0.10552424373805633,0.47555792585080836,0.7383113173684565,0.5847214429012583,0.707979947528668,0.3240100434795836,-0.10504630051373587,-0.12863268267099437,0.17603713881058994,-0.12137374567550205,-0.11648575566769105,-0.06298546562458919,0.09838808644001239,-0.0530391588428303,-0.1690231279657788,-0.011877664177124382,-0.09662241466877047,-0.02401489882054877,0.026758296407318492,0.03475122647237944,-8.631194099853291e-17,1.6270918077769237e-16,-5.287710407193071e-17,-4.7062615992640654e-17,2.646998787286259e-16,2.0487991661473453e-17
1371.6779,[M-H]-,-0.9633018143793293,0.38213737411553717,-0.682364334117303,0.09731119021250947,0.3347040131497989,-0.17881719560208073,0.6250612692056535,-0.3271687558474641,-0.28640731279716214,-0.11501908226096134,-0.1716666141688233,0.06979873448416465,0.11560198422916909,-0.08743631653506866,-0.2113901601273301,0.005879926823058497,0.07883784184026672,-0.02314911424142014,-0.05456024133445855,0.20083623360048528,0.11388208799330217,0.08030936499791604,-0.050376199277789115,-0.016493418235276384,0.026487078694650213,-0.00016873253492155944,-1.1376680572390714e-16,1.925102605734397e-16,1.2736656994764521e-16,1.147263200615052e-16,8.590206516160424e-17,-1.7714114755488542e-17
811.4834,[M-H+HCOOH]-,-1.082219778001269,-0.37974047453727877,0.3220410325007909,0.011522055776072189,-0.7465435814859746,-0.045484683161051837,-0.03640292307273551,-0.27569470000656865,-1.5747817589123125,-0.02468987194847151,0.43860554935211576,0.1797821996567507,-0.13448625241751633,-0.2451875086085245,0.4492822118859557,-0.03993127158674146,0.02750736502550667,0.04875001524361498,0.0027922163888294514,-0.006059640714781264,-0.11794482671946,0.3019650985966313,-0.02362462352698375,-0.015151156285343106,-0.13251532680745987,0.02750606114558544,-1.74372688480726e-16,9.29041340811855e-17,3.836684968501449e-18,-3.918307617286583e-17,1.0810049229388285e-16,1.6450722946271457e-16
1165.6014,[M-H+HCOOH]-,2.7548809842519586,1.8315622715148687,0.3077857218274261,-0.917012371860921,-0.10967176621987251,-0.6910007662549912,0.5516972045217922,-0.09816530426309973,0.20660888883579456,0.9001674901922072,0.8288138492977674,-0.023138886951263846,-0.23711282041244489,0.04148902898456262,-0.3975616075692557,0.22985974553326535,0.06111188061596482,0.0008362331355006722,-0.0447998926433789,0.07111609926667072,0.19510341781435733,0.024854681445187717,-0.0005091976925141115,0.07461463473745925,0.023077821852150432,0.0009383194472090355,-1.8148237973365468e-16,6.550872737085771e-17,-5.917779982587716e-16,-1.9424865409827085e-16,-7.1215871352037e-16,-3.0609712976800297e-16
1315.6541,[M-H+HCOOH]-,-1.1444910465013676,-0.18508539136156169,-0.5663219590190895,-0.1337762173198163,-0.5439102526386519,-0.21651449279914764,-0.5162668968845837,0.10161319377460128,0.06526269714319796,0.05708925388427358,-0.061776112249421186,-0.070736351825466,-0.0024388632323953914,0.10831389574577582,-0.09677558377433572,0.013291779423075535,0.014813062407473716,-0.14771244581464651,-0.0925494220376573,0.023538762366701292,0.1970592150826595,0.014991804449900498,-0.05186307794075039,0.042765924724922,-0.003904169119437677,-0.004180037700118205,-2.0668260795268782e-16,1.1958363043016091e-17,-2.0766813950577114e-17,1.21769976008621e-16,8.376288073784158e-17,-3.690584506266241e-17
799.4855,[M-H+HCOOH]-,-0.9283845347531978,0.42203945809109206,-0.7060961427339921,-0.13278469239069013,0.7169567428053122,-0.01581688722768945,0.5778478988246577,-0.6336162065126503,-0.14254900929291617,0.9006897266220706,0.49148131892643576,-0.09867044022011649,-0.17948497765173718,0.07188308393884019,-0.1541057335009993,0.09132393258259092,0.09135445605018512,-0.004233107212125885,-0.04940493450132626,0.13601187729542924,-0.015428146057326775,0.04032541394139683,0.015381272075889308,0.03264542752728585,0.01908418226922472,0.03792993865691016,-1.9210133122590371e-16,5.824345069353778e-17,1.0793818860340857e-16,-1.657103369805364e-17,-4.927428611186948e-17,1.1975877882403052e-16
521.3857,[M-H+HCOOH]-,-1.3091980344784078,-0.052809694632484874,0.4834374854037187,0.3329732834555576,-1.0088031341662422,0.16734017634679277,0.1892430146805392,-2.381239266921817,1.6189507961774516,-1.998286064715892,1.72890095029524,-0.6215664143225069,-0.0642005547626924,0.4560409887690008,0.28494578972576035,-0.1195154893141914,-0.08218221789565831,0.15799066199133763,0.03714789687117056,0.16181809762983038,0.024135557694305275,0.0030914555454111398,-0.0049788871862764695,-0.0033199139791427116,0.0010917323450428075,0.0011130107104727336,-1.6232608352246075e-16,7.533702549163596e-17,-3.282902743129514e-17,6.174750927167337e-18,2.1410088357569607e-18,1.1129456916925536e-17
1325.6394,[M-H]-,3.4633101006189344,1.261529448667435,-0.7469301786803126,2.361373571704696,-0.2714548703835891,0.7325827243140407,-0.19050446360325018,0.11065980082453933,-0.08769231056583919,-0.014967042946692818,0.1091327516421933,0.1490996247254953,-0.366787701334284,0.04441699204422948,-0.15778782685550283,0.04571918067118434,0.0518399557522865,-0.09377730879077859,-0.05219108508351818,0.10254465061047664,-0.07144715486335038,0.016267528825157963,-0.00011554979846261631,0.009640309109133022,0.005768201920685979,-0.007811170135517926,-2.34165597905755e-16,-3.083676063219143e-17,1.1568908987257666e-16,7.022116096272129e-17,-9.870811461224134e-18,-1.296437917490416e-16
1137.5745,[M-H+HCOOH]-,0.2676028933064419,-1.348847031248449,0.4890336541009415,1.132592773783894,2.108476669306719,-1.9685186168097948,-0.23951701527144434,0.8007983684701133,0.14870554295494498,-0.5463834749421274,0.20537363868883365,-0.5299157277108345,-0.027215299633978337,-0.18450585836892464,0.8855764563788949,1.4131581534462496,0.6547182108196692,-0.3575065115873546,0.25623003880378886,0.018315835669463806,0.08121652747858198,0.015262082686308683,0.014539303363658081,-0.0016126125089247097,0.06430604387341585,-0.013426976705297506,-1.6232608352246139e-16,7.533702549163626e-17,-3.2829027431295187e-17,6.1747509271673705e-18,2.1410088357571537e-18,1.1129456916925539e-17
725.4475,[M-H+HCOOH]-,2.228823464766646,0.8201672207371377,0.226512208588467,-0.8387068716106469,-1.215204957812682,-0.6513789209354588,-0.8440060689057484,0.3426948404558317,0.4006938108354635,0.29588268371360177,0.16507534859931952,-0.6312273912018129,1.5476560513641127,-0.36192836539468237,-0.1029897771231597,-0.03378940005689372,0.10680839072728837,-0.4982061466591344,-0.31363265182366346,0.6158365603246858,-0.7926657501766142,0.0028717437030196524,0.016015704488969,-0.008766165862003341,0.0036563118726604016,0.00446087731617917,-1.6232608352246168e-16,7.533702549163624e-17,-3.282902743129519e-17,6.174750927167503e-18,2.141008835756869e-18,1.1129456916925781e-17
887.5001,[M-H+HCOOH]-,2.4829066211111597,1.5357842260510854,2.683576798919784,-0.15944483521447828,-0.667217758919374,-0.2774503888857845,1.2715736540675584,0.20411848358337786,-0.23910643217197655,-0.012924304272790023,-0.14328341245145032,-0.43384210753529306,0.013044005353361681,0.546306313062858,0.07197994733309401,-0.032432102033498014,-0.2427264128923962,-0.3376580877746846,0.12240296317925846,-0.5595414391193124,-0.15179032670885334,-0.09407012543688163,0.0431072484760459,-0.00598562843879114,-0.0010297542755472483,0.001140959583726401,-3.85861051591954e-16,1.7305383252776544e-17,7.400239315080899e-16,1.142810259721203e-16,-5.060426809206886e-17,2.9161859771066047e-16
799.4844,[M-H]-,-1.274082245018267,-0.20384775407396266,0.204727591820766,0.04692942666432078,-0.6900320234565592,0.10441175852403323,-0.3211549443811102,-0.1727921426505485,0.8088281318910463,0.19906736276216794,-0.40883321966813924,0.30675558583566814,-0.023698216364835822,-0.17354058348491824,0.09424028519244276,0.13949593632595422,0.10250743981735291,0.07402287689007787,-0.07875052390827698,-0.1379489795953557,-0.02163631819976207,-0.005452910482755114,0.07991136081416689,0.024268635373035776,-0.02505024007650214,0.007663785626932601,-1.632494675193355e-16,1.1147983594094623e-16,2.6027168220043637e-17,-1.2203826845024889e-17,3.2679056294075877e-18,-7.954137709837697e-17
829.4962,[M-H+HCOOH]-,-1.274082245018267,-0.20384775407396266,0.204727591820766,0.04692942666432078,-0.6900320234565592,0.10441175852403323,-0.3211549443811102,-0.1727921426505485,0.8088281318910463,0.19906736276216794,-0.40883321966813924,0.30675558583566814,-0.023698216364835822,-0.17354058348491824,0.09424028519244276,0.13949593632595422,0.10250743981735291,0.07402287689007787,-0.07875052390827698,-0.1379489795953557,-0.02163631819976207,-0.005452910482755114,0.07991136081416689,0.024268635373035776,-0.02505024007650214,0.007663785626932601,-1.6324946751933578e-16,1.1147983594094633e-16,2.6027168220043816e-17,-1.2203826845024186e-17,3.2679056294079736e-18,-7.954137709837709e-17
1255.6319,[M-H+HCOOH]-,-0.9814209128155524,0.26586746615485024,-0.8459977801075966,-0.1962763495223489,0.47539388141319433,-0.11592430681656021,0.31155767631835746,0.07147976511480665,0.18582002669641118,0.4320058616805768,0.08661248599830607,-0.08357147685329203,-0.05270695137796136,0.3241533668221532,0.2532631910736029,-0.08562294563661249,-0.0717517729503005,0.10133960079911879,-0.01574600779628268,0.024931875364802406,-0.09815547166895856,-0.019145848287956055,0.027862116866529892,-0.08900151151806474,-0.1439007790274769,-0.6261629094344853,-1.6232608352246126e-16,7.533702549163603e-17,-3.2829027431295187e-17,6.174750927167246e-18,2.141008835756786e-18,1.1129456916925647e-17
649.4339,[M-H+HCOOH]-,-1.0857112387431729,-0.497241088845065,-0.29826310382006965,-0.2796531357035091,-0.5754246751044715,-0.002659209350716921,-0.3774254445822179,0.4242463477603307,-0.440685594077543,-0.14195215783740678,0.2792676868206486,-0.3399362788129284,-0.4023116293103055,-0.5995198467054909,0.2699089975613438,-0.1374285299504892,0.001980052004218261,0.1271605759067847,-0.04045840324323642,-0.19079293428611327,-0.15175857381762586,0.27776634707210834,-0.012105516320227694,-0.009662258736291283,-0.1176743970598335,0.027778677931822794,-1.0920165110954061e-16,1.345165477483753e-16,-5.456833100836655e-17,-1.3248548576233788e-17,-2.358128856931008e-16,1.7811755122024808e-16
829.4942,[M-H+HCOOH]-,-1.1444910465013676,-0.18508539136156169,-0.5663219590190895,-0.1337762173198163,-0.5439102526386519,-0.21651449279914764,-0.5162668968845837,0.10161319377460128,0.06526269714319796,0.05708925388427358,-0.061776112249421186,-0.070736351825466,-0.002438863232395391,0.10831389574577582,-0.09677558377433572,0.013291779423075538,0.01481306240747371,-0.14771244581464651,-0.09254942203765729,0.023538762366701296,0.1970592150826596,0.014991804449900495,-0.05186307794075041,0.04276592472492204,-0.003904169119437649,-0.004180037700118214,-2.0668260795269408e-16,1.1958363042992535e-17,-2.0766813950604882e-17,1.2176997600860226e-16,8.376288073782693e-17,-3.690584506267981e-17
961.5364,[M-H+HCOOH]-,-0.9972927561090033,0.24494568595055644,-0.8274235303582573,-0.07927158770434375,0.2786482279076341,-0.19595858069148234,0.33003460824549435,0.22319693355265013,0.1093900037618789,-0.09010621341615133,-0.24822905591012367,0.004615114018920051,0.0978154918281271,0.2253683100341148,0.20406262401869424,-0.12046192830524337,-0.07002560665110891,0.07743420617679432,-0.015886645620408126,0.05276626272219175,-0.010537490531814525,0.0074735950222741725,-0.025285634040629883,-0.043030401185185585,0.00038110449683740537,0.04236020527800914,-1.8936272138893168e-16,2.2288205284849544e-17,1.1576604984606783e-17,-3.8866409780398814e-17,-1.2566572885668023e-16,1.1019970708009337e-16
1417.6842,[M-H+HCOOH]-,-0.9633018143793293,0.38213737411553717,-0.682364334117303,0.09731119021250947,0.3347040131497989,-0.17881719560208073,0.6250612692056535,-0.3271687558474641,-0.28640731279716214,-0.11501908226096134,-0.1716666141688233,0.06979873448416465,0.11560198422916909,-0.08743631653506866,-0.21139016012733014,0.0058799268230584935,0.0788378418402667,-0.023149114241420174,-0.054560241334458554,0.20083623360048544,0.11388208799330214,0.08030936499791601,-0.050376199277789094,-0.016493418235276454,0.026487078694650276,-0.00016873253492156928,-1.0091527520876698e-16,1.6570063071459426e-16,1.3487729963570944e-16,5.1365002059724794e-17,1.3648023475264693e-16,1.0531189835688711e-16
977.5328,[M-H+HCOOH]-,-1.1095737668752361,-0.145183307386007,-0.5900537676357789,-0.36387209992301595,-0.16165752298313865,-0.0535141844247564,-0.5634802672655798,-0.20483425689058501,0.20912100064744393,1.072798062767306,0.6013718208458378,-0.23920552652974703,-0.29752582511330156,0.2676332962196846,-0.03949115714800481,0.09873578518260791,0.027329676617392263,-0.12879643878535232,-0.08739411520452506,-0.041285593938355035,0.06774898103203063,-0.02499214660661875,0.01389439341292795,0.09190477048748441,-0.01130706554486327,0.03391863349171329,-1.9044935897609161e-16,2.93015112436514e-17,6.451782529961188e-17,-1.845225548949179e-16,-2.1627855751851015e-16,2.5343204080184963e-16
1195.6111,[M-H+HCOOH]-,2.6554732819083835,1.6347774255171388,0.6617032742830674,-0.7489068536118471,-0.7751549727412184,-0.9311093186185204,0.34987977449195273,0.6090724774354156,-0.2797509463851385,0.05154670488773021,0.1718788952513743,0.5346815252922071,0.2902265335591665,0.862111219745987,0.5554327484210742,-0.010770712119123052,-0.2236043175554163,0.1046763062794659,0.0706426115836555,0.024533807386471467,0.10938824191291868,-0.056634155925053734,-0.02760464577863021,-0.03308707447397324,-0.036572159865676114,0.04762490709500133,-1.9385374993909183e-16,-3.398036709994154e-16,-4.901506633851521e-16,4.0815489417147994e-16,3.7410434357615844e-16,-1.3198670487490323e-16
1191.6165,[M-H+HCOOH]-,2.691750219733482,1.8609235598340992,0.39041258309795984,-1.1880162207706753,1.443137947704395,0.2946465566882313,-1.260910248423596,-1.1187625276441604,-0.267016381081075,0.2208306783324006,-0.17499646933469398,-0.042950374875769484,-0.7248231105067156,0.16750766082088345,-0.09491017538968233,0.04517460419501605,0.10899825063201453,-0.09313521963405945,-0.0837680268399307,0.08904970760077922,-0.1436280141134997,0.004761745100967876,0.03187143732104426,0.03731234347512605,-0.009258206872444217,0.01148754985232705,-7.038044058489111e-17,7.35144922211711e-17,-4.1354853617778205e-16,2.8798343707352556e-17,2.6239153167856785e-16,4.366448691143839e-16
