Observed Retention time,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
33.79,[M-H]-,3.6141943335541784,-1.508578385195078,1.1520275624134269,-2.371707345256894,0.514455367139873,0.48785881944771453,0.09404932990549617,-0.14835348564855275,-0.2764196278282192,0.2382406076475063,-0.5913402835484884,-0.211509983549791,0.0626980873709317,0.1276741926234224,0.15216985286680537,-0.006248993790875835,-0.13226631920636783,0.1150724544508241,0.03702365852311792,0.02136003159200834,0.10239148326168804,-0.35297793785687337,-0.08243459918172856,0.021011834369802505,-0.0005196338259616753,0.03281102331671664,1.5755790615753354e-17,-1.6561164293617556e-16,3.3248978049067057e-17,3.6717437859559836e-18,1.2701510301783005e-16,2.2409910007211025e-17
25.28,[M-H]-,-1.3216030927307132,-1.7424730894563354,2.603755906818447,1.562065915689733,-0.19479723860679884,-0.015341173864703945,-0.22061161029811385,-0.45198334120617295,0.21327829561086925,0.30085064308877246,0.15738212055882567,0.1982308717322486,0.33477852221211724,-0.011360797458938072,-0.37128709230211304,0.2438080338126019,-0.4149478173832297,0.025140416057559897,-0.34556235385229983,1.0156967758778055,-0.13779624892430678,-0.12641564314744083,0.46788892445166197,-0.09075355056861674,0.06108808375249083,0.014678245295519771,6.506693683615241e-17,-1.2770705349640254e-16,-1.186756028708362e-17,-2.1672056908916673e-17,-8.287031991573e-18,-3.1084296735495754e-19
45.04,[M-H+HCOOH]-,-0.9868944657263767,0.5190604153798917,-0.14242555724601244,-0.5484821155068477,-1.265274644804407,-0.07913541233182456,-0.556578056971157,0.9368357876968675,0.27759826663582565,1.089835103338243,-0.10012305781325295,0.5486438164281836,0.09727233287798762,0.5889628824018165,0.1619220108973575,0.41845631177603415,0.18665990464460885,0.014875384992218537,0.06138959865566298,-0.12212004171321907,0.1450634721345935,0.06274582879727808,0.16926981575647596,-0.05998369467281445,0.01822478459596812,0.10665876347609085,-1.0614301965699582e-16,-2.016832886134215e-16,1.3672156822491803e-16,-1.4454325521377768e-17,3.0621714335971905e-16,-4.463154235453945e-16
53.47,[M-H]-,1.9742850265854242,-0.10262581993909856,0.16577940468567423,0.7272958512442431,-0.4513033009685594,-1.2016965903828047,-0.2825005496809374,0.47952920305350283,-2.095321057187161,-0.619593071434177,0.4653076052711845,-0.2431898620922471,-0.04515827786193664,0.20337016959685827,0.1816677402656345,0.14753690228588395,-0.07275553228740161,-0.0878834710889322,0.021789659337889292,0.05791380028880386,0.04016492019347042,0.0618809652033758,-0.010602046709979362,-0.008206302398298955,-0.008266412299402911,-0.013532818096786501,-2.1619495623304404e-17,-6.748410860985434e-17,-8.368991534664985e-16,2.4507638880977144e-16,-3.8646939883067933e-16,-1.5693262734470658e-16
23.78,[M-H+HCOOH]-,-1.0213270194919124,-0.36138754383928795,2.0881352889541756,0.3172963965844971,-1.0858398254884056,0.20935392462039076,-0.4250545914652475,0.32739555737763476,0.7877970981256128,-1.176145663508994,-0.2982486250489594,-0.13174960959631582,-0.3348676201821137,-0.07670558058902079,0.9679911735293217,-0.33982310622144296,0.7508653926772847,-0.3799216723896857,0.6224501976197468,0.23967225645805995,-0.23462621845468945,-0.13206685930690198,0.22937174259316861,0.2953071132905267,0.03925303195216621,0.004285878185221526,6.506693683615225e-17,-1.2770705349640224e-16,-1.186756028708348e-17,-2.1672056908916673e-17,-8.287031991572937e-18,-3.10842967355008e-19
33.11,[M-H]-,3.8037482828112643,-1.5196484890795465,1.142385699803092,-2.3844298116952056,0.5844923123556154,0.16992996724837117,0.29197757658380386,-0.1701885093963991,0.053351348338432365,0.09378107828492686,-0.5388356180021621,0.577304722171941,0.17025221010751865,0.04065230249318487,0.15362096430853647,-0.2687195255827604,-0.2847218255766608,0.4010314592604114,0.2539611126990641,-0.014023827352710391,-0.4829582035079846,0.8356593358203147,0.16926122636911087,-0.01186411313475899,0.005061534282225061,-0.013389858031715735,6.506693683615225e-17,-1.2770705349640214e-16,-1.1867560287083553e-17,-2.1672056908916664e-17,-8.287031991573e-18,-3.108429673548854e-19
39.24,[M-H]-,3.512295177596425,-1.3199252102038517,1.1884912686563178,-2.787676353552529,-0.8217085047695389,0.6417499703305504,-0.4052645181668677,0.3092240527332061,0.18354038660115918,-0.2056792129364005,-0.7464443141675664,-0.1796001231848478,0.19533749370957787,0.02485509801343241,0.042048035689199924,0.0681850784415391,-0.1621829865773803,0.15028370383497047,-0.004018850089542418,0.021318621278094252,0.23748145265714757,-0.26833071359288085,-0.07613618993467891,-0.022277733041081178,-0.022930349080877446,0.005000963793440479,1.636892292769555e-16,-5.189787461685381e-17,-1.0210063695939301e-16,-7.235965829866818e-17,-2.788913020103648e-16,-4.5752348916503016e-17
17.59,[M-H+HCOOH]-,-1.3737019735997036,-1.835018077854227,-2.0569673511530517,0.04488667670078607,0.08976167925587063,-0.13404820061565995,-0.49072123507058113,-0.7746277495569581,-0.16169108337644988,-0.06642962250230093,-0.4713555448941156,0.2378102984411658,-0.04926200122286742,0.015173433050470196,-0.032556521659914954,-0.0856381329459259,0.04782147228708601,-0.013892091076078202,-0.007731133949077042,-0.028328077593973357,-0.031682164878456084,-0.03455269374035545,0.030525263457438803,0.00839103483240684,-0.02712184133720992,0.0008553387482616262,1.7918003787075707e-17,-1.570386033228181e-16,-1.8664312595689926e-16,-4.840124011588496e-17,1.891490135764309e-16,3.407950883963827e-17
8.68,[M-H+HCOOH]-,-0.5987510835511619,0.8027051912786589,-0.020965382126410907,-0.22093250239626697,0.5752861880209506,0.03973750461405624,0.0327722646651477,-0.2108563217884743,0.06287373972645083,-0.03667820259441746,-0.07144806887168055,-0.12747190015200846,-0.022272141197993194,0.028697306379867702,0.01437329169031996,-0.12423987382768667,-0.05366330741513814,-0.01692700661449005,-0.06286802577261051,0.0028240143090907575,0.003595204591574637,-0.001835498592854353,0.006645068452400623,0.028479481269567297,0.00433245882932892,-0.013691533062033707,8.574686975784687e-17,-1.148536855850732e-16,-3.1719296723102685e-19,1.7382858026946588e-18,-4.0271669764772156e-17,-5.160712829038348e-18
19.13,[M-H+HCOOH]-,-0.7378126982249041,0.359996636568396,0.7006458472185766,0.44428301937369824,0.44077717159297625,0.43689339234935987,0.07208032555314169,-0.20971187095727337,0.37124062333259883,-0.16494775514362986,-0.18373525217055509,0.06368022814444732,-0.6475254086140586,-0.4146341613568954,0.8045233656296741,0.13772274515366958,-0.5689347646933096,-0.6403606948831231,0.3325915568752083,-0.15430962772833962,-0.12478205839461289,-0.0840871596687041,0.04477558127875175,-0.5404311838883796,-0.13413245979472968,-0.001753682956737787,6.506693683615222e-17,-1.2770705349640205e-16,-1.1867560287083605e-17,-2.1672056908916562e-17,-8.287031991572886e-18,-3.108429673547038e-19
