Observed CCS,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15
316.47,[M-H]-,-0.026473284063213063,-5.687827552230652,-1.2877618581589079,2.9154508479131627,-0.996728138603677,-0.3734326784895041,1.2455328905334107,0.17782015631376605,-0.26832207145426124,0.2569522908350789,-0.12272731966355456,-0.040480097793525294,-0.11323519767600988,-0.3133297625983301,0.2591963855603564,0.16642584085139328
342.97,[M-H]-,-2.3511044780633625,-0.7716427435879464,2.0442593388439625,1.0947992178481736,0.5874724211811794,-0.42334984472859843,-1.5314395732274124,-0.15500512060153834,-0.0463752530810532,1.3975399134228272,-1.150996131569731,0.5897132436465903,-0.11167824858257025,0.16723118152147967,0.26569973060197816,0.5085290057262046
297.53,[M-H+HCOOH]-,3.350903107565717,0.3169866272955617,0.13272180793740274,0.028436150624042415,-2.3127921902575297,-3.3590812929546146,-0.1503620492662665,-1.1145428249624096,-0.15584641292289808,-0.16632711031991426,-0.45083639274905707,0.5621486390564003,-1.0765483972843104,0.02521908948146629,-0.13725475677850188,0.25546565360275963
313.42,[M-H]-,1.4534464460867995,-1.468329778816095,-0.49183460356766334,-2.5162886028600973,-2.3920236241957755,0.6823272279906996,-1.4202620544717008,1.6836843525245628,0.09424021581053907,1.7218978815554877,0.3418346728546926,0.08200162426252332,1.34002776738488,-1.2326552087494471,0.795848825419176,0.14264918371037333
274.31,[M-H+HCOOH]-,0.5243124651303737,1.44737214389832,-2.5801580559741906,0.5450806000446199,1.5302615499522452,0.09237532019804588,-0.2825090819260411,-0.35746242951232415,-1.044800898523968,-1.4864361461185138,-0.3463102629024352,0.4446893688561448,0.08665909868573525,0.39716093284302706,3.2795680172575654,0.6539382132142815
322.97,[M-H]-,0.43835120566521474,-5.786461854388224,-2.1778471973509803,1.8509676923603995,-0.11244788471896047,0.4266277247421172,0.7456476278576725,-0.6967396339831409,0.12276050370771738,0.22462512044063035,0.048158282434058494,-0.09402209898605925,-0.031340659222874725,-0.16957669177832127,-0.19053883220095819,-0.2473217552579561
286.76,[M-H]-,0.5119600951350749,-5.761129134243253,-2.6692255682870103,2.059681149585153,0.05035312406592618,0.29062442959596846,0.4660619139405622,-0.9251659875951502,0.4555774336107426,0.18926699296733435,0.19077835913362348,-0.09245799826769509,0.04119421322347945,-0.21618981214314217,-0.25867413593783056,-0.3652332561633535
300.84,[M-H+HCOOH]-,4.49856367351731,-0.6884985791135562,2.5283253308445706,0.5726831132782383,0.08275565846299393,1.2640793900084315,-0.9083536539534988,0.2936297927657185,0.3756725884368766,-2.023680429524989,-0.5574094452374705,-0.22256360339758918,0.17778435528988656,-0.10586990846154322,-0.23924367123510407,-0.3949879238825794
321.11,[M-H+HCOOH]-,1.5475917436960986,2.1002359379067115,0.41401341735596975,1.5911046833137894,-0.7116687834607776,-0.5790851167944798,1.1605411145293776,0.02678535736168861,-1.5870602076445801,-0.1444969545900733,-0.4883157217841751,0.575022346252769,-0.0824889648324008,-0.9455146376094586,-0.25851140389859706,0.4429634224827825
333.51,[M-H+HCOOH]-,-1.3837721199233102,-0.465198943525311,-0.14115407182479592,-1.1656222026089755,1.0432527110445071,-0.12466110667960856,0.12292994529953974,0.06299892242432027,-1.1550537823871352,-0.6841937543038377,-0.10792045020644962,0.18629122149510385,0.3625289656721666,-0.39061196062810777,-0.2939128359981968,0.20229701195669983
365.47,[M-H+HCOOH]-,-2.812964432213111,0.6373218796736791,0.647142464525438,0.4749527784734518,-0.5211281351588813,-0.47091759616648876,0.19682707652220952,0.233137592505471,-0.21850587904738136,-0.08253185942211783,-0.2932486981457469,-0.45594870107211927,0.05408662707165575,0.13099904687101696,-0.03912086113175279,-0.5016317398764593
367.09,[M-H+HCOOH]-,-2.7635478756977525,0.694538338724518,0.5481148470064336,0.6487493538135075,-0.5333583363980815,-0.6364489399060881,0.30245558245987914,0.44838262204132256,-0.29715990151806343,-0.21836795237194734,-0.42387811241974876,-0.6630344213329098,-0.0537855910206298,-0.07006413040134371,0.10796286827555966,-0.5250083898363926
306.95,[M-H]-,-0.782889109972857,-0.6848556146709474,0.22319304616121685,-2.038852008479886,0.30574486945923485,0.6026888942036132,1.7638515932815575,0.7877494735456185,2.113994544677334,0.47702914419183334,0.41034561835210803,0.06540315784059457,-0.351969117233927,-0.4581863761649874,0.938133775121519,-0.0707804548044175
