Observed m_z,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15
925.4807,[M-H]-,-44.50044375041279,-0.10632160805697771,-0.7507771257785798,-0.5751419936978458,-0.0875646235005795,0.8653622378171362,0.09511334839116613,-0.03944876156873696,-0.06668640589991609,0.05720868943287885,-0.042558712804225,-0.039221869141370685,0.10639303599626988,-0.05700672427376447,0.05926107883362117,0.042146825518754545
1107.5929,[M-H]-,-43.49980603290113,2.2384648768096036,0.11905778913971325,0.14531211353912785,-0.09439049502075247,-0.07047695169011184,-0.34816275367726535,-0.2615517050495615,-0.16126989829973662,0.10756058584926359,-0.23431416048818265,0.12123801380759822,-0.2648654055446958,-0.06137693603745664,0.1508178786437505,-0.1479136112707606
797.4684,[M-H+HCOOH]-,-42.49960726088128,2.56063839896354,0.6074249935838254,-0.18203452875816828,0.19214902095748812,0.11570954139745977,0.14554669715593133,0.14712443262032693,0.03640969889937214,0.13349836739478,0.16903379469870397,0.19345767326552646,0.030921315948394923,0.06374027032197599,-0.07540904091688477,0.08887758542346125
807.4908,[M-H]-,-41.50093872254732,-0.331483663408489,-0.6679883296912152,-0.7225843188287397,0.15596825517773152,-0.4371056830012914,0.07833997016548634,0.30281324859789577,0.019979189908479827,-0.0003994494813950295,0.14103263355955548,0.04352507934126378,-0.11238248935689006,0.13301295465025575,-0.16275073525788283,-0.23497939400685927
681.4214,[M-H+HCOOH]-,-40.49996254818819,-0.7365739696442125,0.7895233279302029,-0.8087241212428729,-0.6478318075235466,-0.18374545561733707,0.42246678970057155,-0.004850451077302317,-0.19292144678469647,-0.09935149634215147,-0.1801481635792977,0.2639449350649554,-0.04396363537245007,-0.014730794407635951,-0.24563686281012412,0.04919202124353149
925.4798,[M-H]-,-39.501320916740625,-0.06626202951842679,-0.8489884294721316,-0.5594521497618109,-0.10450205875930584,0.9200314563814411,0.3196124904118313,-0.11643874316134856,-0.007293923768778258,0.08204763101911862,-0.165183316090511,-0.07139911602267948,0.2548720077436821,-0.03812617670357854,0.08426775011115678,-0.15692378470255813
793.4374,[M-H]-,-38.500755568273036,-0.20121582124810217,-0.7025058500961402,-0.8485504330951315,-0.20121481505136063,1.0060058492627335,0.25196082305054557,-0.13698782373416085,0.06237833265818381,-0.0030371767043295733,-0.14271809176500197,-0.1524820631893476,0.07942893800040128,0.04042854832792763,0.10666796217210095,0.00659384137101008
845.4891,[M-H+HCOOH]-,-37.50091912338718,-0.08956782253585296,-0.943647301662739,-0.7717728573442705,0.5774141621860366,-0.38275059891510826,0.26544817830723433,-0.38539056077919326,0.3186565275591738,0.17766285770008713,-0.15450020303100592,-0.19172268785603339,-0.032089639144298195,-0.04380647670501334,-0.12178299100290436,0.0387677013069495
977.5317,[M-H+HCOOH]-,-36.4999316868175,-0.5669471437573488,0.3626288295652613,0.7386122144854042,0.21866112107828217,0.04305209913713483,0.4213609822810412,0.006973745631511297,-0.22996599026349132,-0.10568175684938985,-0.007918658733455208,0.05635543293560941,-0.07870705922865152,-0.08149784024129723,-0.15011174609554062,0.029735165311196462
1007.5422,[M-H+HCOOH]-,-35.4992179078449,-0.5327628257006162,-0.02169389634795998,0.06725143090986047,0.165005423401133,0.2054593775373173,-0.3242937515169035,-0.18425434284510425,-0.0692834388315149,-0.6200504612656333,-0.012445756404092033,0.3207499182877033,-0.10184886049639151,-0.20718485466543665,0.013816556374237975,-0.2044937965038169
1285.6451,[M-H+HCOOH]-,-34.50082642364884,-0.0534576105377112,-0.2880990687279841,0.6396922841750888,-0.22641422765404984,-0.07451359645674167,-0.13038484588783947,-0.09742720854225809,-0.046925632246855635,0.1275197522482357,0.09540188914714186,-0.09850490441189168,0.06329428876622299,0.018256851462351578,-0.0579288275354927,0.037134725367473496
1239.6361,[M-H+HCOOH]-,-33.50032840942542,-0.08814904932695838,-0.18731637996536116,0.7506185114093209,-0.14833240778977838,0.036220744499047136,-0.25136831733886955,-0.03813799143610873,-0.06641432525238286,0.03604121340268087,0.0808958198796581,-0.1009182247934124,-0.029160104709291413,-0.0459978429596681,-0.05777052606757255,0.13142004979112765
825.5005,[M-H]-,-32.50038015341648,-0.3855445049183086,-0.6716072370277675,-0.7195552736093969,0.254285158611161,-0.343266278774565,-0.053593118658496995,0.1930324102425236,0.08544185137669258,-0.15018827727935288,0.2718000742614101,-0.005502826483385893,-0.1224536635758968,0.03544256386659737,-0.03908849441758117,-0.13378425300234525
961.5402,[M-H]-,-31.500553859297526,-0.47382882065686827,0.2169191100563568,0.39188839103807377,-0.1367321891652441,-0.18580683845838877,0.2620772030486884,-0.2065852094309167,0.06942063093821285,0.0484165950105586,-0.04412873068228138,0.08137437347842562,0.11334665189529135,0.19999983636025515,0.18621561262851266,-0.037337110453476687
799.4839,[M-H+HCOOH]-,-30.499673067307928,-0.7601391530821594,0.7775071995287832,-0.3998397158818405,-0.3253151391661668,-0.1606871665146752,-0.016291702450037245,-0.14187836033506263,0.10365905465898016,-0.11705111377425291,0.3298718529829647,-0.1586806423918722,0.04549644662761762,-0.08832750531637056,0.0389099910414131,-0.09328154926359274
947.5205,[M-H+HCOOH]-,-29.500954813247795,-0.5377830759879805,0.3242684248892176,0.2158114464247338,-0.2109874736850914,-0.3207961959650667,0.4534507380794875,-0.2699914061570768,0.04746604098955615,0.13944470785771113,0.13221367185673358,-0.016977542493512944,0.19217831148575587,0.19717294195368487,0.15572098925401306,-0.08817901399376896
1139.5831,[M-H+HCOOH]-,-28.500321103720953,-0.29625690471030636,0.005887666425363364,0.5841122006738415,-0.005583896196361738,0.02291645726650442,-0.1480181388813903,-0.09784552582186268,0.1880591497542175,-0.05259646970313632,0.09954946841310663,-0.1001725701475279,-0.009147724151442396,0.014202367482406738,0.08328152197132489,0.11238577108076264
1371.6779,[M-H]-,-27.500804757785733,0.12935390647054204,-0.42174541603312454,0.7640593460170876,-0.2805052796877962,-0.04506871621053209,-0.244636149849389,-0.09210232633512278,-0.14940437810221477,0.15215355796320792,0.08686489735745458,-0.08859228239866142,0.046862095356992164,-0.003752691292583276,-0.12710543346199452,0.12604655511791094
811.4834,[M-H+HCOOH]-,-26.499318696428606,-0.6415699748359229,0.5753399817429443,0.13443733083455037,0.6230826310091623,0.027853274513069223,-0.049616478374542514,0.3545630425389353,0.002517696483481932,-0.004139558915727132,-0.1047682626779484,0.12177382857281473,0.0732663224777525,0.20974282474875883,-0.15647802692029195,0.1582055048878137
1165.6014,[M-H+HCOOH]-,-25.500527289675897,0.0038232092867048107,-1.027415889960575,-0.09538027474790843,0.08078432339342345,-0.287404408186991,-0.11369911642362038,0.27888359544979996,-0.14782284892251674,-0.1958716284228325,0.08959980134081515,0.10048677930557345,0.20222960379835445,-0.1007312336447615,0.09211530893386864,-0.03019167549787564
1315.6541,[M-H+HCOOH]-,-24.500649272649632,-0.03159965293234295,-0.4095635702798716,0.6393999641091318,-0.13009874535926175,0.11853126381822962,-0.13664866197021652,0.08122484685824348,-0.07410739312709023,0.10822503921737808,-0.14535595606669593,-0.050894856419544866,0.12135120347330812,-0.031979897719845905,-0.026021468983174412,-0.02969824133987712
799.4855,[M-H+HCOOH]-,-23.499765677339155,-0.8041668577460849,0.739843813466389,-0.35227518262630625,-0.3198133541544226,-0.09303057209700147,-0.018011666426827753,-0.11036952304140146,0.16400538219008157,-0.20021705344248888,0.21552358900065685,-0.09261398440404629,0.057059966918536084,-0.11302604638194076,0.07601214563754334,-0.12330905526529082
