Observed CCS,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31,pca_32,pca_33,pca_34,pca_35,pca_36,pca_37,pca_38,pca_39,pca_40,pca_41,pca_42,pca_43,pca_44,pca_45,pca_46,pca_47,pca_48,pca_49,pca_50,pca_51,pca_52,pca_53,pca_54,pca_55,pca_56,pca_57,pca_58,pca_59,pca_60,pca_61,pca_62,pca_63
316.47,[M-H]-,4.523251774284341,-3.365642500506036,-0.5049955537018823,-0.5556393519835835,0.46310440985778195,0.6161572983862533,1.0356389310948935,0.062178671976614044,0.03863895174419032,-0.32120525579568965,-0.37540748809027485,0.06067830167682268,0.25672871186157425,0.12266738100014558,0.3247086556746584,-0.4110047177097505,0.36134442551756557,0.20144770844565058,0.1956952982169509,0.0029606495611103215,-0.12659538163854717,0.044251952501852286,-0.09662148458280162,0.6273727789369236,0.012455372272017535,-0.04868325691796545,1.311988198862192e-16,1.295233429168953e-16,-1.0771025756764108e-17,-1.7978654532584677e-18,1.6232995369212853e-18,-2.805146773382046e-18,-4.9206828123002914e-18,4.038402602401095e-18,3.445620948549636e-18,-3.860722277435622e-18,-5.663700064999969e-18,-4.3061339281449775e-18,6.425816878534825e-19,7.760012276994668e-19,1.3222640413291985e-18,-9.665951845795016e-19,-2.832888395585839e-18,-5.583928312195149e-19,-1.9167096205616252e-18,-4.0468139487033436e-18,-2.729669619668942e-18,2.181623939798426e-18,-3.2229476193025308e-18,1.1995456156179023e-18,-1.0112371691230146e-18,-1.7926228839984557e-18,-1.2076310446877418e-18,-8.857917921760967e-19,-1.1654685717773083e-19,7.124578164215198e-19,-1.4265263787760146e-18,-4.927805021962093e-19,1.4846700123505769e-18,-7.672544962131815e-19,-2.688933652483319e-19,-3.1986113012940755e-19,-2.505322766628425e-19,-1.7791026911824986e-19
342.97,[M-H]-,-1.0775975621549532,0.1328061538516907,0.21441947903637656,-0.27458242639006475,1.2414967693416916,0.7967935571753954,-0.04381722733898026,1.1029017509125203,-0.15670366972571056,-0.6134578910376833,0.4238713858549151,0.12699852230235892,0.23822912136580274,-0.00691339801369965,-0.08626868272373966,-0.4081817919921868,-0.278730514134606,-0.42474302829520805,0.11504499703596424,0.273829797515251,0.33636246760524263,0.15779390367343174,0.6465618523582765,0.09340531304810978,-0.05798304702194593,0.012700183328815763,1.3119881988621915e-16,1.2952334291689492e-16,-1.0771025756764384e-17,-1.797865453258767e-18,1.6232995369210326e-18,-2.805146773382082e-18,-4.920682812299951e-18,4.038402602401307e-18,3.4456209485492254e-18,-3.860722277435937e-18,-5.6637000650002236e-18,-4.30613392814514e-18,6.425816878530722e-19,7.760012276993856e-19,1.3222640413300142e-18,-9.665951845793812e-19,-2.832888395585908e-18,-5.58392831219588e-19,-1.9167096205612208e-18,-4.046813948703288e-18,-2.729669619669248e-18,2.1816239397986546e-18,-3.222947619302684e-18,1.1995456156177419e-18,-1.011237169122867e-18,-1.7926228839984533e-18,-1.2076310446875415e-18,-8.857917921758377e-19,-1.1654685717758903e-19,7.124578164211257e-19,-1.4265263787758397e-18,-4.927805021962805e-19,1.4846700123507047e-18,-7.67254496212522e-19,-2.688933652480451e-19,-3.1986113012921043e-19,-2.505322766629789e-19,-1.7791026911771886e-19
297.53,[M-H+HCOOH]-,-0.908936669808317,0.2453440699163154,-0.7420950917532797,-0.028191700059101744,0.19698836659265026,-0.1768727409076707,0.6883237573231793,-0.32253055823075083,-0.5568134985776594,-0.1850692658145169,-0.03207994918572207,0.0730620365201569,-0.18867563629341794,-0.6774495637472244,0.12880519596611523,-0.1947507249117157,-0.02306292716885258,0.05943256451304047,0.2015293111475983,0.14253647377978831,-0.11249366191915314,-0.22276439978727275,0.027769303753130633,-0.04349119241764198,0.10186027589683226,-0.003627245924714811,1.5903638856704913e-16,9.171769303847934e-17,-6.233201191717169e-17,-4.888399285042205e-16,1.036868585329479e-16,7.333613883765672e-17,-7.442183276484065e-17,-1.7797747709325708e-17,4.837852158355556e-17,3.2812929186353397e-18,2.3207907357501115e-17,6.094067218482786e-17,-7.715303711313993e-17,1.0831446499641847e-16,2.0661125908499128e-16,-8.809544500171643e-18,-8.606295558375298e-17,-3.503601457560934e-16,2.0236334371294428e-16,1.7983609029474044e-17,1.0237853788456294e-16,-6.23832757132748e-16,-2.61662606501547e-16,2.228793271024809e-16,-1.9595773953444513e-16,-3.9778155080983306e-16,3.069042586288041e-16,-3.3113325185774616e-16,6.342658612706528e-16,1.5997900261394403e-16,5.669694745266675e-16,3.766475704100325e-16,2.9984716213229783e-16,9.835364904225822e-17,2.830506635412726e-17,1.9015925844729494e-17,4.755328137122626e-17,-2.2045944475739157e-17
313.42,[M-H]-,2.7787435123840187,1.4795044900558119,0.5995763856431322,-0.832793407641419,-0.5234389183412018,-0.6401457911809526,0.7377520272051562,0.5309153003878141,-0.443197705889195,-0.31458273041250234,0.5067097152725797,-0.12386963923444572,-0.3418986246094573,-0.8256641139406086,-0.0881614528599085,-0.006304569599830332,0.03576225600279243,0.2567932478276374,0.0021358193179079727,-0.07839124108108873,-0.024404137035298257,0.32761317512391497,-0.02650910742566961,-0.02695239448631684,-0.08328950966281899,-0.0052016361126816756,4.684015966681402e-16,-2.635328204824663e-16,-1.4721989806213133e-16,1.9930850368134477e-16,1.2831224230431085e-16,-5.369716206310416e-16,-6.943261783837648e-16,4.642492633574977e-16,-1.416722683229645e-16,2.4899734068345276e-16,-7.551105156263358e-17,2.6603842039533224e-16,1.2316037301304843e-16,-1.4224581641285447e-16,8.85538868776539e-17,-3.1465518057117217e-16,1.1753422811712097e-16,-3.4391873288541176e-16,-2.566611656093953e-16,-1.2585980893898373e-16,4.3158952572750687e-17,-1.0589939404537509e-16,-1.1231083055740467e-16,1.4853909013181334e-16,1.8177038737287758e-16,1.2991766539919293e-16,-1.5018113887097578e-17,-3.4229349907383616e-17,-1.0465634980870164e-16,-9.053276664527778e-17,-1.7154057756874205e-17,-6.202311783880791e-17,-1.0896469624543315e-16,-3.5778859791616544e-17,3.3036405506636997e-18,3.149759893059721e-17,1.962016076238624e-17,1.890645045872984e-17
274.31,[M-H+HCOOH]-,-1.046538102214223,-0.44436079108846627,-0.5108789717588336,-0.4198441726860374,-0.32568091268188026,0.1804880761710986,-0.7326647798514734,0.19215087182907456,-0.05179664533543312,-0.1887219321803661,0.011157606679680913,0.17635198456711373,0.15493233757188044,0.4347899876110047,-0.8550860725533032,0.30892242731458147,0.022173686372763762,0.3056338538446459,0.9736698682010677,-0.0477343629683847,-0.2797410035166274,-0.04410880141293916,0.06840678013017602,-0.030495032856911013,0.20659960884958906,-0.039876237535611356,2.165499144843375e-16,3.953901907742647e-17,-6.843610833359657e-17,-8.229138277693886e-17,9.431252538299408e-17,3.7369648758512924e-17,-4.001731221480019e-18,6.933206199433497e-17,-5.242255146960583e-18,4.777833450334681e-17,5.020460404862814e-17,2.821183601742704e-17,-1.0919888961774639e-16,1.9659711623189705e-16,1.5253867920837074e-16,1.3088663352177964e-16,1.996944242154887e-16,-2.1581930245610874e-16,-8.056499346967696e-17,-2.1802714911822908e-17,5.0268197091532186e-17,1.266601235967281e-16,-2.372661291004872e-17,-3.2202844433458473e-17,2.0301086374480314e-16,-3.57547409738149e-16,7.588241246041732e-17,3.8464463177375787e-16,-1.188378295244579e-16,-4.87538573313477e-16,-6.881585693713376e-17,-2.50828958173906e-16,9.134630744097717e-18,-2.139811949890608e-16,-1.3903772493382308e-16,2.1138606501303269e-16,7.269789505388472e-17,-3.834754083151464e-17
322.97,[M-H]-,4.460301944424769,-3.874088473688775,-0.28716791296419303,-0.8955006978500294,0.010094331867641292,0.8112488172586004,0.17701301896932684,-0.39415070810780206,0.13827036707014773,0.8541325916035686,0.47251771767088396,-0.17119681398878392,-0.16952887308939357,0.17731671612139752,0.03287574656193376,-0.09139407409217169,0.35025968802410845,-0.07797051268267458,0.0011576392135883348,-0.0769708698060545,0.038972985502271525,-0.04221678305619477,0.07556665708021128,-0.18172533551006495,-0.002113565691540974,0.04020745929084801,2.397024403485577e-16,2.6972526325748455e-18,1.4728853833062218e-16,5.208956884718495e-17,1.790561472852832e-16,4.1573774710660635e-16,-7.215219743160065e-16,-5.887218304886651e-16,-4.3052735309554334e-16,-8.706881479858784e-17,-3.9981685960543236e-16,-1.8052253596518755e-16,1.2155808259090578e-17,-1.2116333760178719e-16,-1.5155218243951919e-16,3.4789080405545544e-16,-1.6937611410866975e-16,2.671502142874184e-17,-1.838596558823186e-17,-1.707634418035158e-16,-1.1958587723678947e-16,1.20270316615097e-16,-2.5318818849647244e-16,1.0898149770858737e-16,5.4717317559196684e-17,-2.5011906273378856e-18,-3.0243444162893374e-17,6.830694429785389e-18,2.5331459096346184e-17,-8.400995004619551e-17,7.988911694113028e-17,4.3014994543613244e-18,4.05262950168713e-17,-2.425309566586162e-17,-1.4779378252201785e-17,-1.501076805504955e-17,-1.2854334745179708e-17,3.307988254777636e-19
286.76,[M-H]-,4.425384664798637,-3.913990557664331,-0.26343610434750325,-0.665404815246831,-0.37215839778787446,0.6482485088842084,0.22422638935032707,-0.08770325744261694,-0.005587936434100938,-0.16157621727946722,-0.19063021542437292,-0.0027276392845028232,0.1255580887915119,0.017997315647484653,-0.02440868006439677,-0.1768380798517043,0.3377430738141896,-0.096886519711968,-0.003997667619543242,-0.012146513500998013,0.16828321955289982,-0.0022328319996753492,0.009809185726533193,-0.23086418127262798,0.005289330733884408,0.0021087880990166108,8.375575324734915e-17,1.854907649771821e-16,-9.684616056230963e-17,-1.1660115183225698e-16,-3.407173236839963e-17,-1.6144416134260703e-16,4.3189701042753483e-16,3.410639414100991e-16,1.848619438864238e-16,-1.2415986956024008e-17,2.0051063445837556e-16,8.997790190996454e-17,6.289717479228304e-17,-2.6726198574150214e-17,1.0703438334426148e-17,-2.6321791167374447e-16,-7.952442967272639e-17,8.107382182378663e-17,-1.4892260747819733e-16,3.098518293049282e-16,-1.3729620160117193e-16,-2.112727291263914e-16,-7.463211144293572e-17,-3.222480887371495e-17,1.5852471525068064e-16,-6.3805380704622524e-18,-6.035345637678888e-17,1.532429642518975e-16,-1.5424777253240391e-16,2.510341965482355e-16,9.98624514876741e-17,6.743002461303539e-18,-8.074867072068488e-17,1.980564097394789e-17,-3.7700013995883106e-16,4.3726848322206294e-17,6.39284755217685e-16,-3.4959854252974407e-16
300.84,[M-H+HCOOH]-,-1.3419532067568667,-0.3234006160970853,1.912148438178098,0.5604066615645381,-0.6460508927574656,0.39487179699707,0.32952733269741874,-0.3004940230409963,-0.6619009078215116,0.3287257632169087,-0.39857961938774616,-0.47301533512344945,-0.08015087149136083,0.3244653006282454,0.10234391298655815,0.01803724947374091,-0.06844698309864004,-0.07671119017127997,0.059044950608303406,0.2157819313230186,0.09331344071003113,0.025314081885418747,-0.01644063823636444,0.013028418604912663,0.022651590891743754,-0.007720823937959831,-9.94119716258178e-17,3.7204132665191747e-16,4.4305376829280284e-17,1.7844397169019052e-16,-4.58174249923674e-17,-3.9793033558599305e-17,-1.9986785338549908e-16,2.7647577522039983e-16,-5.4038709376984845e-17,-8.475979405979121e-17,-4.192400870944761e-17,1.1893328503476652e-16,1.7868841142364487e-17,-7.314687411315251e-17,-2.2514258666883724e-16,1.1925101463397367e-16,-1.0650746399179952e-16,1.619004365787035e-16,-8.860044499949774e-17,1.2205207592014666e-16,1.3462809003704422e-16,-1.1267027739039748e-16,3.923174532565825e-16,6.117052606215766e-16,1.9210006927923995e-17,-1.5940362213110566e-17,3.5055860995828314e-16,1.0493513743138891e-16,2.225806248601302e-16,-3.814602943865277e-16,-1.0142998346851347e-16,3.5723003743446694e-16,-3.2208990472362737e-17,-4.246533107729818e-16,-3.43306502567728e-16,7.507902373633557e-17,-2.821894275133961e-16,-5.645149233042196e-17
321.11,[M-H+HCOOH]-,-0.9972927561090019,0.2449456859505559,-0.8274235303582573,-0.07927158770434392,0.27864822790763555,-0.1959585806914808,0.3300346082454948,0.22319693355264983,0.10939000376187856,-0.09010621341615466,-0.24822905591012429,0.0046151140189194095,0.09781549182812964,0.22536831003411356,0.2040626240186932,-0.12046192830524426,-0.07002560665110812,0.07743420617679524,-0.015886645620407574,0.05276626272219132,-0.010537490531814372,0.0074735950222741135,-0.025285634040629425,-0.04303040118518572,0.0003811044968380006,0.04236020527800914,4.47341113509138e-16,-2.0028407399777394e-16,-1.9914737044008225e-16,3.3820623776941495e-16,8.887705485879103e-17,-2.501376867630683e-17,-6.717911390858084e-17,-4.687806129420127e-17,4.080633714050465e-17,-9.384271989835375e-17,1.6045761729588314e-16,-3.538684711132984e-16,9.364074340493505e-17,-4.293654093005531e-17,-2.6694300100941834e-16,1.4513894039259568e-16,2.9524779568774345e-16,4.228836545754408e-17,-9.852775675488675e-17,7.024188584658415e-17,-7.316514080260253e-17,-2.0983899846200333e-16,4.546304443108385e-16,1.984051350415144e-16,-3.342787581569846e-16,-1.6571016528963655e-16,-9.839635817469285e-17,1.5034468936071155e-16,6.395218444104449e-17,3.42521459631203e-16,-8.788001144017044e-18,-2.755702548312055e-16,3.4782856171795104e-16,2.9553808314901033e-16,-6.201025111391698e-16,6.0788527084388274e-18,-2.66438295976134e-16,2.422996787959232e-16
333.51,[M-H+HCOOH]-,-1.1566095061942954,-0.32036956481426143,-0.09089679527992452,-0.27903258871511677,-0.17263711647777708,0.2505884311959143,-0.7167455594831168,0.5391817524162646,-0.29270808522325126,-0.2774894174277029,0.29227726719779146,-0.16436907810303145,0.019690670042810873,0.07888814356890317,-0.3840684926998741,0.09269629357103017,0.18256503553294468,0.36166388220545065,-0.3344398106353481,-0.251382978581707,-0.07096213933643566,0.2954174843095696,0.047295965930810265,0.008489569372885388,0.3046188753229814,-0.0671524627993814,1.1216412541651753e-16,1.758881082470412e-16,5.4275153502340984e-17,2.099414351584655e-16,-4.088966229609249e-17,-5.279689703327916e-17,1.1854407569150332e-16,-1.134042137306658e-16,-6.590888407267929e-17,-1.6016563894976874e-16,3.0533905436643674e-16,-3.0652392083620127e-16,1.2739932579901207e-16,-6.060792781037474e-17,-6.730976601538691e-17,2.795077367418502e-17,1.7648981126091746e-16,-6.774127508361956e-18,-2.0397094895412384e-16,3.010829208745883e-16,4.561161593637903e-18,3.2727861358838746e-16,-6.928521997530393e-17,2.9519691046119856e-16,-5.3451154377571206e-17,2.763880015274651e-16,-2.4464526832480984e-16,-1.3634749497754248e-16,-1.5038912291390928e-17,1.0299150695252172e-16,6.091766018027463e-16,5.050408499129569e-16,4.277607174992526e-18,1.8009751360351853e-16,1.9778704707250878e-16,-3.059989183955173e-16,-1.0950840112978593e-16,5.094951920836276e-17
