Observed m_z,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
925.4807,[M-H]-,4.136009155119766,-0.47505959699242745,-0.45522432264692825,0.9843633431535234,0.9492922403491159,0.13963095804188727,0.18608306189339752,-0.07869633690647804,-0.4034012491948685,-0.025197566055806236,-0.3326875682856469,-0.23098160097020234,-0.24171935902898203,-0.05998639413385274,0.1369301524587148,0.04598322143723877,0.04064985065199513,0.07304761665177321,-0.22748261288846738,-0.023919920023946627,0.013176087525843289,0.016355377775892348,-0.07600817287605277,-0.007549936959013866,1.270913143924389e-16,-9.452329325541614e-19,-7.005918722185554e-17,-8.954084523510984e-18,-1.0909216459629525e-16,-6.047554143891828e-16,-2.2714407001517437e-16,-1.0693379894937615e-16
1107.5929,[M-H]-,-0.6011496736217204,0.9664743769243905,1.2464955516971354,-0.10293711955047186,1.349681087060967,-0.17047019368703292,-0.1468068965765658,-0.4269224023859794,0.06664128846815365,1.0014109081352225,0.0956461452782612,-0.20671861600182612,0.26726745291348974,-0.022565908090983616,0.4573879344546691,0.08746708376952149,-0.5995656316860082,-0.2850456926956207,0.04691082213782308,-0.5076734502485358,0.027920745420027836,-0.3755312648003788,0.01787298485306151,-0.29189941266286196,9.981719221480124e-17,5.860173295559917e-17,2.840499924183931e-18,-9.593668233302866e-18,9.149663345571324e-18,-3.147879371276575e-18,-9.95326944543088e-19,-3.0231767165290798e-18
797.4684,[M-H+HCOOH]-,-0.4084092472765008,0.05066808036040809,-0.9862462149447959,-0.0958208061049306,-0.00467485237588678,0.38033804811533123,-0.5165575497145849,0.1835060782963305,-0.2021998956545173,0.13906459073415828,0.1921404733452004,0.133966151192076,0.22404785636216348,-0.5217125972310245,-0.15866178527865965,-0.09152484082438223,-0.05078592972072694,-0.015136672097515345,-0.04753198060078371,0.0015448801244890996,0.1696231580390165,-0.006231753356577946,2.7861728271172622e-05,0.006559348224281606,1.4408338982967623e-16,-1.92230648207201e-18,-9.466434078410109e-17,9.973344075103107e-17,7.159602586050635e-17,4.338585962721348e-18,-4.224061657911266e-18,1.9595694301318344e-17
807.4908,[M-H]-,0.7547249568519163,0.03479346952734998,-0.3842790096051355,-1.0656501905452094,-0.7863409576528336,0.41781913911940494,-0.7447877840428873,-0.041876217889557685,-0.13246410198141173,-0.045997819151798014,0.21282653079182667,0.3757490477866129,-0.4545324145497885,-0.47468770028344803,-0.11206092432009031,0.09625913274988199,-0.18778924894759297,0.05731860052476012,-0.008333930787394396,-0.04363574975704336,0.13614823201654647,0.025823078452518525,-0.011466383807075162,-0.018889021738207255,-1.827800556156886e-17,2.314554937270993e-16,2.2756775004271103e-16,-3.009491455237925e-16,-2.1801337755473948e-16,-4.027261011864359e-17,-1.0789048949810946e-17,-5.656142882906873e-17
681.4214,[M-H+HCOOH]-,-0.6750442948923031,0.21660554726587958,-0.7362916757869661,-0.7223888448841161,1.3339597229768716,-0.47474105002108685,-0.13121609461773062,-0.8384029596326686,0.9014656243452913,-0.08445677637516008,-0.6630442114844723,-0.05280695617928816,-0.5200825329634223,0.49126214564554466,-0.9763272171390122,-0.6204375794419597,-0.28600165220691115,-0.09605672615120318,-0.06841065696381375,0.2797739192371195,0.04246661102878865,-0.008277330576740027,-0.00686593722100488,-0.10315293707242927,2.5123461065425634e-16,-1.4933421490338582e-16,-3.4025711135787384e-17,-1.320779015365042e-16,-2.3600738455545927e-16,1.9353508625444102e-16,3.076479668977418e-17,1.0242389508047723e-16
925.4798,[M-H]-,3.95291230887237,-0.8468337422814755,-0.639767685191117,0.4478237833579878,0.9914952313556388,0.40448939574870985,0.4868300292487921,0.13510241811725351,-0.20706979254072339,-0.17215994865839904,-0.1332628069726846,0.29523216227755245,0.13601771875649307,-0.00023089066850180855,-0.0290907645083127,-0.027967469071417644,-0.11799420676115574,-0.0774342515238602,1.0064839489728403,0.16598558135329292,0.10863817963824167,-0.05950253442032718,0.2710448425639123,0.008957658451321964,9.981719221480161e-17,5.860173295559931e-17,2.8404999241839015e-18,-9.593668233302807e-18,9.149663345571474e-18,-3.147879371276638e-18,-9.953269445430777e-19,-3.0231767165290886e-18
793.4374,[M-H]-,4.0345445380640905,-0.9524707060069137,-1.1738806386028704,0.3550852714505638,0.9378642718773428,0.20363560845910206,-0.24523528462075203,-0.11893891226241016,-0.25737690174043515,0.22131126556106817,-0.13104718368208781,0.2442897893554771,0.13491821173001053,0.2717675767152597,0.006195109922381682,0.0004035135878916714,0.09150553861302291,-0.08534240499848106,-0.2471760661405037,-0.06008988346961435,-0.07346840027002143,0.020485038436665597,-0.04880729884396116,0.0020635606803902,7.865901496958588e-17,1.0508336145259736e-16,2.672118950162806e-17,-1.6141499257635184e-18,3.326200324938568e-17,4.23666088083564e-16,-2.0769378236763633e-16,-2.1238284986226826e-17
845.4891,[M-H+HCOOH]-,-1.2284205356703861,-3.0731007724294335,0.8407483194285708,0.061790333415822574,-0.11900003848094673,0.5615572548537482,0.2551756992676274,-0.1035404549337094,-0.29183109993520645,0.2118072059306357,-0.06745693650728721,0.07562334883764515,0.23786797153649514,0.05962638032394078,-0.07887721693458316,-0.10638913835806968,0.016765422919032356,-0.08444275573933976,-0.05790292493563319,0.011048791163764496,-0.03461701147764381,0.028242288293172775,0.037412216990532154,-0.010870826686942689,1.1223234081446693e-16,6.184119726724238e-17,-2.1282755883587182e-16,1.6287716847595478e-17,-1.3002428640940863e-16,-2.6077872281820386e-17,9.704305099027154e-17,-1.419107508616153e-16
977.5317,[M-H+HCOOH]-,-0.44920160626313216,0.5664172328424565,-0.07146979241777922,0.556169168544185,-0.07097827083435475,0.19187107459468689,0.08807127164152746,0.19586036134660526,-0.1978568449087932,-0.21409345087612885,0.11737492902844396,-0.4934110480734086,-0.1771376286967966,-0.024572047311622488,0.08757844319283287,0.008092969420955498,0.095631172588057,0.08068981234624617,0.02194326785049884,-0.0015047047254900026,0.007252765117158341,-0.019576446158903076,0.00213747171759166,-0.00743827526417234,9.931504010673947e-17,5.554136018551297e-17,3.1801767666179345e-17,-4.9012093811752845e-17,1.3436339628292888e-17,9.370155760064853e-17,-1.1160399116811004e-17,-8.075741884642427e-17
1007.5422,[M-H+HCOOH]-,-0.5680514303955448,0.7707489223127264,0.416039985404584,0.2640556772658706,0.8633299896558314,-0.004377344464465854,-0.20990575977364825,-0.28128334396175364,0.10127363613448696,-0.44765130994650393,-0.006560757744746721,-0.2557278103051795,-0.2473270582215498,-0.08611454475425395,-0.5292415212982209,0.44942819023871944,0.42233921902592786,-0.20326376667124857,-0.09664599131061931,0.5742821893154936,0.023159669356148598,-0.03501814983641068,0.019602527917708727,-0.25162629510933504,-5.1600226224654323e-17,2.6653768081458404e-16,3.970671098415502e-17,1.1289056506989834e-16,2.5430671124660226e-16,-1.9983084499699415e-16,-3.275545057886053e-17,-1.0847024851353534e-16
