Observed m_z,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
925.4807,[M-H]-,-44.49979762624614,-0.21412797273858564,0.1957658358671963,-0.23212792850514918,-0.4399011995931503,-0.1866552408227027,-0.044164634553977566,-0.016902343283384302,0.07719062797045811,0.002000535487860996,-0.1739041122710755,0.020411605616134317,-0.05149561193351897,-0.0015587112302826514,-0.020663957822344967,0.017418373539725012,-0.0050931053335002896,0.007912483410804296,0.014826200944315934,-0.0031575983426297177,-0.004440231540753727,-0.024912079774934034,0.010800861648683107,0.002164806419966532,-0.0035243280933683575,-0.015941611407355498,0.007137274908467587,0.018053373389402473,0.0036503572262842356,0.011300269427684903,0.02204930975654767,0.011290655250656811
1107.5929,[M-H]-,-43.499539612964604,1.9005523451922144,-0.011234626626092868,-0.03265240156476967,0.020523650961788834,0.063419012100101,-0.006351562862493114,0.08433287752905703,0.0010226653787727574,0.01871313544942391,-0.04015872439613666,0.05478908196364849,0.012148074640640452,0.1092405668382178,0.0479962474756919,-0.12079988056218854,0.01414956730538266,-0.018925758284453878,-0.011139410738692705,0.06078333233544315,-0.05109592748423903,-0.016519052038088528,0.0146573955762542,0.03232474496673852,-0.031011130572886892,-0.035820880675782686,0.0020009440505042862,-0.010670633390564078,-0.016081710937399796,-0.017826445417432314,-0.01321245142034655,-0.0018878676544018549
797.4684,[M-H+HCOOH]-,-42.49954481319281,1.8479086493737087,-0.048350613185496785,-0.13805328722243335,-0.014608162869732905,0.04413011978736976,0.08410124616837664,-0.21118598756093496,-0.025809254138157187,-0.14064048367372448,0.03949318411446444,-0.007600215505584223,-0.0002941373186176182,-0.08902398217545114,-0.03217749478439921,-0.021610084302390788,-0.03686649466133021,0.009409901724514573,-0.04608885110015796,-0.06788042931215593,-0.13793274069492703,0.039381499801822394,0.0763613066586171,-0.00846445183179267,-0.05944961755497186,-0.027387856925917126,-0.0014216010916845503,-0.01450572333911119,0.004762981461299406,-0.005895363492233943,-0.03865564253969225,0.007314806261009028
807.4908,[M-H]-,-41.50008267916998,-0.3236950736995765,0.5445467732148191,-0.08482652467287896,0.2154491901082209,-0.007644482784996123,0.0014041258056522023,0.03868956659481012,-0.10271114794822854,-0.0575770573094107,0.11016088561572869,-0.09360241196764553,0.0053607725812081465,0.11666439274312092,-0.030380275276135113,0.10493243421973711,-0.057338672237055965,-0.16937482175237406,-0.003985826887802791,-0.04455491567917478,0.005128467656714903,-0.03877947069749581,0.03209257313399761,0.014434814805091853,-0.02230218101072044,-0.0025119348539983668,0.025727275537932824,0.011175096132477691,0.007269996749952998,0.0038090521635267246,0.00825720235851383,0.0015419987611006096
681.4214,[M-H+HCOOH]-,-40.500138262549584,-0.4307290831893989,-0.3801994913669047,-0.27543351137510624,0.18699747165121455,-0.057964882554933005,-0.11917147679944654,0.0028772812604272056,-0.013268169817125041,-0.0577460499954822,0.03097114929969745,-0.10109703026717469,-0.09783865778369885,0.038497618299716624,0.031146727848657817,-0.03361658686943358,-0.03562398970521439,0.04257825376546319,-0.12628813016376367,0.053516040306392475,0.11185632878846397,0.10968943774498284,-0.027788615660486633,0.07306562056839425,-0.09313253545259659,0.025287587610780458,-0.11563742595889896,0.0016248396264187033,0.06653020054597122,-0.007722979903619122,-0.017761096044087887,0.014578934851094865
925.4798,[M-H]-,-39.499812159404264,-0.21403673826422503,0.18555970760269153,-0.24261404578887133,-0.41487842345594284,-0.1978747515704327,-0.04179637664018787,-0.03145626975314424,0.09148097097988202,-0.010124546918613355,-0.19620440437822248,0.0231896678147357,-0.060648174693232006,0.005044751844440113,-0.009611601571404033,0.01726851897372527,0.013735022114471022,0.022892869198533162,0.01829607583807498,-0.009676433252687758,-0.0005939851576639351,-0.017712357738204374,0.005490861434471708,0.01913079774986488,-0.015786823367526962,-0.02783727054014946,0.008102119477689533,0.013119801048299375,0.0034161125618067606,0.006761178238405691,0.019955649082814143,0.017773532506137186
793.4374,[M-H]-,-38.49978260950589,-0.26353517049092007,0.15629511984043737,-0.31242364143875895,-0.4385397722124436,-0.2350574354358762,-0.024866998860964103,0.025234541740955376,0.020241030674276173,-0.012678664618078992,-0.15413187990057284,0.006837605084754708,-0.06482605530407377,-0.03180915498605015,-0.030956664074828735,0.06931064400879512,0.0009772316912830948,-0.03158357610514886,0.02149700974993772,-0.013000096796714204,0.005764474296187725,0.011679131559559179,-0.035015665674851974,-0.008004457667052413,-0.01839767078724462,0.016982757658667986,-0.003219128580675109,-0.01060986301018857,0.007022407583874335,-0.02327100086344378,-0.013035679646509236,-0.005353345378916406
845.4891,[M-H+HCOOH]-,-37.499997262969956,-0.3221979793215426,0.5538305821294092,-0.1868713225906284,0.17674107503719125,0.004189645089111457,0.09039394891803618,0.11722470982254812,-0.15520221115942262,-0.021662419856978313,-0.048116797156625014,0.1254914104819928,-0.0334190016606651,-0.08000150188260974,-0.043898524627627916,-0.040698024650777556,0.11571806507684002,0.06839624587007515,-0.049002690579209224,-0.018644133042506318,0.022900938192837117,0.0013789761074082094,-0.000995671743250574,-0.004526047328665331,0.014123272970092977,0.0042030411464073405,0.003423201081050105,0.0006522707054947018,0.002848313614342678,-0.00405826794775541,0.00992981038310894,-0.021425522631410482
977.5317,[M-H+HCOOH]-,-36.49999689683999,-0.30586411212173414,-0.06314905359381126,-0.010109443665434743,-0.08644637190158588,0.24483196320572512,-0.09565768926366723,-0.08808611863571449,-0.11000318097728086,0.014190655278208255,-0.028357998324360718,-0.1323286790855201,-0.049411763568858715,0.003940318949701493,0.05257974577594015,0.01020116303028528,-0.006767167229609433,0.022091932328346428,-0.040421935033985834,0.010994995408480802,-0.005539862736896429,0.017981881292400508,0.006405835065249118,0.038301857926851327,0.06840637423704272,-0.01157387037683346,0.04931318804149508,0.02448229111836204,-0.027566677937445834,0.002719228884286092,0.022316318713933424,-0.000645219984124703
1007.5422,[M-H+HCOOH]-,-35.500315478964595,-0.2720969568460623,0.10479420426422913,0.056913416174477725,-0.03385242582492598,-0.05339315774541584,0.07722049536632809,0.014933626359899829,0.02110182907353396,0.2923528424733339,0.012586721155695351,0.15231026383317303,0.1565508930941922,-0.23501678345734958,0.3196550985698285,0.0005748067381958238,-0.08540224138214486,-0.10731511424088477,-0.08085130408666759,-0.05235718045654803,0.05530350888437826,0.02342133368495643,-0.017088895609349782,-0.00913930864733203,-0.007090438535923014,-0.025784007420920383,0.01107737527847976,0.038210025019599206,0.010133316222629736,-0.007076030449362418,-0.013785434250258162,-0.0021666082824907725
1285.6451,[M-H+HCOOH]-,-34.50033071109959,-0.06772073997357947,-0.07032932150505464,0.38310759010535644,-0.014085524846856996,-0.026260403294541185,-0.08201397000729618,-0.005544569474286357,-0.0017921173131639288,0.054036427867345804,0.027151985544365185,0.07865078130057887,0.0389824951480636,-0.0009095492503260981,-0.05011267472103495,0.03721999569163539,0.041275241319481994,-0.010865627448447558,0.012204083538802429,-0.00964298894158263,-0.022298913643089,0.008553455345396914,-0.03369752638801151,0.025029848606303095,0.00838862176379362,-0.00046795893218170686,-0.02428497459703728,-0.020901596841632127,0.006228091637382935,0.020632067254120118,0.001657572253614527,0.0118007546115537
1239.6361,[M-H+HCOOH]-,-33.50024879337873,-0.11054041807346685,-0.02286978929390091,0.3715848411337207,-0.07306529709501358,0.03923217556532574,-0.04960832630098974,-0.02209557640870217,0.026562796318630743,-0.0029242761944785712,0.04519800508648988,0.009718651997957675,-0.012881594663130339,0.010941278758290558,-0.03131300056795034,0.002666970888406975,-0.0012541452369160843,0.012191640168000619,-0.034006934849788326,0.008507571837629768,0.008222835183625047,0.001386947407072359,0.013707068123035366,0.0021506429833812305,0.02767480644534678,0.0012032261641112274,-0.00588351751723194,-0.003442076253973254,-0.015295930271292894,0.015486167272391039,0.017291481835129043,0.004693893912674868
825.5005,[M-H]-,-32.50007051152609,-0.3354748167646667,0.5471416179343354,-0.09604987941902503,0.23178981567660378,0.004475444090009976,0.017211396745447884,0.05175430909904636,-0.103251796737971,-0.061088359272655976,0.09010945655908013,-0.0645166847532952,0.011106346848076777,0.11378292788209027,-0.038334167411659514,0.08488455530983034,-0.019236578201273835,-0.13877458110487378,0.006233380124906079,-0.06036143564532027,0.0066937589494590255,-0.03798774827392937,0.026532202539715333,0.01086124988963372,-0.026640264363023514,0.013386522171420218,0.01612531463457287,0.029291109436358553,0.011154633710813208,0.004757165918052653,5.6567724410126356e-05,-0.011967677789229397
961.5402,[M-H]-,-31.50022824442403,-0.2956276592529281,-0.14918285387613672,0.13926399720561763,0.10243729359720255,0.014673435218743317,-0.14237977851997544,0.10312712099556945,-0.06412362583082794,-0.12510135316183874,-0.07979803660944544,-0.06834694707249561,0.07939361394193814,-0.03925211121106675,0.0455742888754584,0.05882557703551185,0.045548385742560794,0.008356948193010385,0.04236478317476893,0.045630039072997515,-0.06848935280994153,0.06267079548697932,-0.08768515421604803,-0.0012295513489875688,0.016749463573959723,-0.003797315756070893,0.02514931279953256,-0.002519199643670503,0.0018230296032018378,-0.042576810517798665,-0.005807367302767417,-0.029902446210443995
