Observed CCS,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
367.09,[M-H+HCOOH]-,0.21360388793996923,-0.2614462609356902,0.34735832687466733,-0.07593110289709003,-0.15425341091056957,-0.08874563788663241,-0.03872911580349254,-0.02397676950737444,-0.08298132403707068,0.06323805193969405,-0.06244623005000831,-0.01363657252003311,-0.018770201013210582,-0.0218364318058299,-0.022691079715631838,0.023725214563202514,-0.021337301188201555,-7.997951145009505e-17,-1.6318740288914613e-17,-2.412780452093238e-17,-5.015675249663217e-17,-1.484542379025718e-17,1.5367503492108814e-16,2.67171646290233e-18,6.734417171188655e-17,-3.8980525976769494e-17,1.9009961128447904e-18,6.263595335305389e-17,9.718742424902682e-17,-4.642721665948979e-17,-1.0672559131938089e-16,4.6406890625232613e-17
306.95,[M-H]-,0.4250012572608554,0.39115602566744895,0.1164252339984289,-0.08040182783120332,0.3270499534157721,0.11742171588409758,-0.39612785281357726,-0.12580891434803776,-0.02708645377488145,-0.11977157245235562,-0.2243007055590115,-0.00891051261843388,-0.004788919113177179,0.0036242380447228514,-0.02316200123351746,0.012572024639965644,-0.018997558846702033,4.434136197342427e-17,6.021786708722219e-17,-7.584685027089068e-17,-1.5665123453526964e-17,1.071848130379589e-16,3.987773524368384e-17,1.7355367173431444e-17,6.470016164189046e-17,-5.201994371680801e-17,7.885589044429627e-17,-2.7156584061664145e-17,1.1185191779164452e-16,4.271413818092322e-17,7.165537746259195e-17,-3.271400189018684e-17
318.86,[M-H]-,0.2136038879399692,-0.26144626093569023,0.34735832687466733,-0.07593110289709004,-0.1542534109105696,-0.08874563788663206,-0.038729115803492455,-0.023976769507374533,-0.08298132403707068,0.06323805193969415,-0.06244623005000836,-0.01363657252003315,-0.01877020101321066,-0.021836431805829982,-0.02269107971563186,0.023725214563202295,-0.0213373011882016,-7.934840790396518e-17,-4.489813997735874e-18,-7.016290687345828e-17,3.6251634735156744e-17,-1.8361897442142274e-17,-1.2670434381680502e-17,-8.95831693290299e-18,2.8288693744732604e-17,6.46657923795797e-17,-4.268617536854355e-17,1.0169981213297311e-16,4.846137280054535e-17,-2.405206710857915e-17,-5.809745394290528e-17,-4.330493319659178e-17
300.45,[M-H+HCOOH]-,0.17251790050235924,-0.3032974903143488,0.29030152105255164,-0.33506874746737014,-0.1898081108924267,0.20072579747487027,-0.019373769932638125,0.044206513979534075,-0.5435533385543726,-0.5072201458757414,0.477168949490004,0.03705880786487897,-0.009364207479296081,0.002706828016919928,-0.022808628380694473,-0.025488840359078255,0.019339464163001543,-2.33440971486537e-18,6.522727282168691e-17,-9.222354687595839e-18,1.0284234334902323e-17,8.544296358557925e-17,6.355963918813338e-17,6.015785927506191e-17,4.844416980862868e-19,2.275239302712429e-17,3.887414954609547e-17,-5.156616383897565e-17,-2.207630584752597e-17,8.783711521392615e-18,9.926568156982389e-17,-2.4017860865627142e-17
324.4,[M-H+HCOOH]-,0.17251790050235924,-0.3032974903143488,0.29030152105255164,-0.3350687474673702,-0.1898081108924267,0.20072579747487027,-0.019373769932638125,0.04420651397953409,-0.5435533385543728,-0.5072201458757413,0.47716894949000305,0.03705880786487897,-0.009364207479295908,0.002706828016919969,-0.022808628380694636,-0.02548884035907849,0.01933946416300149,-4.382463545427638e-17,6.187752039189203e-17,-3.9490497061840545e-17,-2.1985518643794726e-18,7.784199470266215e-17,-4.763689449852435e-17,-2.1588537309998464e-17,-3.7391153211705465e-22,-1.1391564814956562e-17,-3.35125898946701e-17,7.61803195599503e-18,1.5333938991100043e-17,-7.335190345410138e-18,-8.013929432386957e-17,6.590232365319798e-17
356.51,[M-H+HCOOH]-,-1.139825693773003,0.2710495348370764,0.5693680788605509,-0.10346662251704175,-0.1343676758389694,-0.0010347226656498031,0.238456490575134,-0.10344570001898164,0.6501085662786718,-0.1904481144506029,0.16829266644236326,0.20237550848327784,0.007385851821514539,-0.0253670006252651,0.02286106437511639,-0.15117050994761366,-0.11274304230034443,-1.279803023084572e-16,2.607078867582652e-17,-1.0245343459039784e-17,2.053014463400798e-17,-7.583730130341986e-17,-6.778859024195522e-17,-7.965369547673313e-17,-9.616080577114193e-17,-8.300478313779146e-17,-8.409454305274201e-17,-1.207316884493147e-16,3.11886234161756e-17,-4.282061948991446e-17,5.017185654318175e-17,2.2091615948420285e-16
388.73,[M-H]-,0.21360388793996923,-0.26144626093569023,0.34735832687466733,-0.07593110289709003,-0.1542534109105696,-0.08874563788663206,-0.03872911580349245,-0.023976769507374537,-0.08298132403707065,0.06323805193969412,-0.06244623005000832,-0.013636572520033158,-0.018770201013210672,-0.021836431805829944,-0.022691079715631803,0.02372521456320249,-0.021337301188201582,-5.743884666769176e-17,1.4924817050679875e-17,-3.2942599511263413e-17,3.1429928298053186e-18,-1.9058788294182763e-17,-7.981893321110093e-18,8.5135393666257e-18,-1.333796545693632e-18,2.893242709594729e-18,3.66311405311813e-18,-1.7207016875270026e-17,-7.944453392216421e-18,1.3296477817297053e-17,5.991969356893038e-18,-5.459854749437943e-18
301.95,[M-H+HCOOH]-,-0.04186715096843247,-0.4131888931985187,-0.3871206007476766,0.05884754934015488,-0.08896735284375978,-0.28009516040781857,-0.021365446667193616,-0.11455586696668126,-0.3048894596477705,0.15056015173761703,-0.1350704443224767,0.4351182505240157,0.173981409535829,0.0028719477544580413,0.03150558691567791,0.0042179517828273465,-0.011532928120594019,-2.3717306545314414e-17,-1.2905019422682082e-16,-1.4215066122282091e-16,5.381652045281119e-17,7.618822289786594e-17,-9.391876118134595e-17,-4.5541231574044495e-17,1.0828732124289618e-17,5.796052286668228e-17,8.71468491374223e-17,-3.4786250633697627e-17,1.24702693278036e-16,-2.243282057032858e-17,9.96211984747958e-17,-2.111476462222065e-17
351.29,[M-H+HCOOH]-,0.09479397899885778,0.6621505274601249,0.2396705892740478,-0.3220139106623626,0.7244791744508445,-0.046504359995620574,0.2895315986050287,-0.2662704316847281,0.14614191312296598,-0.12986855502120304,-0.10848991076669297,0.0827517799064714,0.0004347966094110632,-0.022894100040569534,0.010299996849558882,-0.05473992555358849,0.08575933268838407,-1.1470125602437303e-16,1.0911498031794343e-17,1.0323292757486749e-17,-2.946371992019758e-17,6.15909067746041e-17,5.628898053535293e-17,5.1174526347323766e-17,-5.774841288809737e-17,3.216966440825159e-17,6.323812831095177e-17,-2.1219419867684085e-17,-5.0992792804095476e-17,-5.125117027837782e-17,-4.382877402321389e-17,-3.097890517233479e-18
370.73,[M-H+HCOOH]-,0.21360388793996923,-0.26144626093569023,0.34735832687466733,-0.07593110289709003,-0.1542534109105696,-0.08874563788663206,-0.03872911580349245,-0.023976769507374537,-0.08298132403707065,0.06323805193969412,-0.06244623005000832,-0.013636572520033158,-0.018770201013210672,-0.021836431805829944,-0.022691079715631803,0.02372521456320249,-0.021337301188201582,-5.743884666769176e-17,1.492481705067981e-17,-3.294259951126334e-17,3.1429928298052635e-18,-1.9058788294182836e-17,-7.981893321109986e-18,8.513539366625708e-18,-1.333796545693766e-18,2.893242709594586e-18,3.663114053118128e-18,-1.720701687527011e-17,-7.944453392216428e-18,1.3296477817296925e-17,5.991969356892903e-18,-5.459854749437733e-18
