Observed Retention time,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15
33.79,[M-H]-,-6.970659230476788,3.476650413676863,-1.1287007518708259,0.2510696503270541,-0.10000282328057397,-0.5390183320942588,-0.47621388076219623,0.19402385297639732,-0.15472133922131792,-0.267336435837337,-0.22669061607185886,0.09547268357705535,0.269144966190208,0.1847661039578967,-0.15454598071584258,-0.2691292570661897
25.28,[M-H]-,1.3820683240232157,1.1411371940771782,0.10673808851048205,-1.101340866828884,2.055942228786579,0.26091102923906334,0.11752681363671592,0.5284297691507448,-0.3780934689022273,-0.08933761467654795,-0.8301652706464704,0.21613881118561737,-0.1803280833111375,0.43147378768702604,-0.18175220654458413,0.05924535350236761
45.04,[M-H+HCOOH]-,-1.8176544161330845,-3.254050048322633,0.2559514761061717,0.30173880792150115,0.8589027875354457,0.7240549564633572,-0.37717319295639096,-1.0147656382342651,0.2911626790478484,0.11060814108053768,-0.19388973876110613,0.3777545581745307,0.197904781733736,0.2508323630356263,-0.17666208123322433,-0.7417934347233116
53.47,[M-H]-,-1.7972942748576164,-0.8616874911732529,2.281299427907219,-0.5970166108484201,-0.8784106883604604,2.017487369633697,0.5882911370781446,-0.6994381981735059,-1.0714933523713301,0.027243592065939178,0.7847936890370684,-0.023699525239653324,0.35010147450345985,0.46333724729270875,0.6558913897281082,0.06268485910548408
23.78,[M-H+HCOOH]-,-0.6044853190384228,1.1104599448250634,-2.3518252844968943,1.1232984915595041,1.4710433562167315,0.7835158972119686,1.736730148678318,-0.5622580581846122,-1.948115123985348,1.7630172371198143,1.1704689701094575,-0.4971068841240357,-0.23719809832341146,-1.4034399803400985,0.06855251368054863,0.12574534816914262
33.11,[M-H]-,-6.664728337843627,3.580429759204947,-1.3928942345217605,-0.16613924014425524,-0.2833613626976178,-0.4156201196269134,0.23228616903182533,-0.2887462726873463,0.9957297044563292,0.29760872591659476,0.7002496106909437,0.13768715861881733,-0.40286627831858224,0.766106749540294,0.32601327919399703,0.7079069730623827
39.24,[M-H]-,-7.194206309829382,3.375294743797169,-1.05935236640159,0.40391643723244136,-0.09899802182670077,-0.46044472854984303,-0.2755590576137377,0.07983589627025661,0.011753394323175792,-0.1385282270656414,-0.5391122250667618,-0.07445468987888716,0.13523687235518703,0.006068408033097068,0.04228578618017322,0.21871295784893366
17.59,[M-H+HCOOH]-,0.0874883237635398,-1.9595680142476688,-1.8196588767099469,-2.602619505541378,-1.0355110413242004,-1.5434216607597646,0.5602500004225509,-0.47187770731548423,-0.4142761781999106,-0.46472513917539615,-0.05695873057830472,0.33822917575133976,-0.005144206020519815,-0.18646341057555868,-0.08866416179041092,-0.09278333503955158
8.68,[M-H+HCOOH]-,1.159512677086739,-1.2318027798993667,-1.6238746269527715,0.8586130715209971,0.2306374521950381,-0.19140301708578686,-0.7943233010214427,-0.6664854368129067,0.025007128609015387,-0.11807313206881198,-0.05478334854117787,0.41730330658940884,-0.18392276669069102,0.23707126032479622,-0.25377252266995726,0.6209396558738725
19.13,[M-H+HCOOH]-,1.430205121149502,0.7221636683012502,0.18966541887176275,0.16273645993046887,0.7943120332532532,0.013063554336313827,0.04103519015650445,-0.0432776465168442,-0.5238671714369738,-0.3684108825138994,0.2797523074676157,0.23521246704724955,0.40235980519298536,0.5647774224870803,0.21627601552521084,0.11395829106730188
