Observed CCS,Adducts,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
316.47,[M-H]-,3.6436393307050507,-0.7454364044665266,1.962809732010536,-2.131108825087562,0.543252581700449,0.28179424812679227,-0.12401882420756395,0.17327356272700273,-0.2506111428598175,0.13305963403090457,-0.6289732698939763,-0.12036480580390359,-0.2894777354486396,-0.0671546374088078,0.1694061710367717,0.005324153879503522,0.11189296830931605,-0.2470309647208827,-0.10854237601943363,-0.020513870673190385,-0.09711867097574543,0.0773373913935265,0.03133462355974724,-0.3081188570649361,-0.009256444458789155,0.009526455429582463,0.033386621272662946,-1.4859461774526622e-16,4.588868361760985e-17,-5.4389357809206037e-17,3.277502035453821e-17,6.264174037512367e-17
342.97,[M-H]-,-1.2309890643476868,-0.9058855756723708,2.632349232779929,1.959771647514212,-0.25611262006239893,-0.031057363851539378,0.31646247963718005,0.18341914937145656,0.2203543363115018,0.34603111327497144,0.18744276918468872,0.22986438547011437,-0.47992852427380406,0.03554762399076685,-0.18344091679211416,0.5581953373294934,0.216001275406444,-0.35664320798052895,0.08583576240239417,-0.1350436182128039,0.8771302112304473,0.013685236860167201,0.7010649070436077,-0.027102883678629005,0.07427508829770887,-0.03701301865710804,0.006654181604304236,-1.1089946583517915e-16,9.543896522091955e-17,-9.994010597068252e-19,-2.1633446950056012e-18,-1.214916241268521e-18
297.53,[M-H+HCOOH]-,-1.0104771535487906,0.5147151816397245,-0.1834179218608245,-0.556934241600392,-1.2339834299372294,-0.05678264862286099,0.024552537385464167,-1.1121982713245593,0.28418415604139025,1.0477802792792479,-0.280251185151853,0.5270237247410167,0.18701412099878295,0.23992302669463778,0.5785852716217769,0.1810221457903876,0.25714255081390547,0.27636984250707075,-0.08637332899590988,0.14534675645614253,-0.15468568875233055,0.14355151308560352,0.1419900406023605,0.12111990419590338,0.045681686762008886,-0.02173485949862823,0.10322083976183576,-1.0644672312793996e-16,1.0209127421877379e-16,1.2215925508814604e-16,-2.2933990189578413e-16,3.14388196493588e-16
313.42,[M-H]-,1.9532982345715808,-0.04091588282017762,0.01805419473682994,0.7567266781568112,-0.5230069046322744,-1.271911195985789,-0.020353276882456743,-0.491881772627413,-2.0970615785918456,-0.5209653928028303,0.49348639182486337,-0.2522014851950994,0.07744003425979666,0.027484850435420705,0.26993230136087837,0.0011919858368357745,0.17464499448950785,-0.012611816508613958,0.09178454685800799,-0.07504326305132324,0.015952104719179513,0.04354064585525104,-0.00296132364358092,0.056469139162299946,0.003325782868112518,-0.006401626387248408,-0.012165600940188738,-6.021026995592319e-16,-4.97459212844564e-16,-7.757214840461278e-16,-1.0416567688671595e-16,1.1940513218828806e-16
274.31,[M-H+HCOOH]-,-0.8791915460427793,0.32084880725888126,2.0285053325615485,0.4754991841988257,-1.0327791362114147,0.2536049106153964,0.2039636561329068,-0.5585810986637297,0.7558806609728049,-1.2689175322279513,-0.15759953942198804,-0.08945985864623869,-0.2944677175627858,-0.2184966865367408,0.5862821134917227,-1.1166236988823262,-0.46115815565910834,0.7457311335994827,0.09321931843867372,-0.43588537609571276,-0.06964482255221663,-0.13497295100408022,0.35885087095976964,-0.060022873887103215,-0.22453984923958423,0.19450866601682906,0.0043105447626543975,-1.1089946583517864e-16,9.543896522091879e-17,-9.994010597066634e-19,-2.1633446950056667e-18,-1.214916241268482e-18
322.97,[M-H]-,3.8409527461543935,-0.8888346210752303,1.9162284341189948,-2.1024165871270135,0.6411544544435754,0.05004502968338505,0.060468626949223774,0.45167059833670675,0.13115831809024936,-0.007953313783319052,-0.5608239296804377,0.5696971422352105,0.7108955633053659,0.5237441695540964,-0.11908164004723652,-0.26343564282047605,-0.04113450056329778,-0.20947866334423493,-0.3513521119428583,-0.30202212124907507,0.16599537321590382,-0.4213376888350695,-0.04264863266220069,0.7511076814420675,0.008104414367433957,0.010334790185689792,-0.013276045698963412,-1.1089946583517909e-16,9.543896522091933e-17,-9.994010597066813e-19,-2.163344695005625e-18,-1.2149162412683407e-18
286.76,[M-H]-,3.540439875812343,-0.5167152522762716,2.004160737116471,-2.563942132079638,-0.7465371636261401,0.4726363754020479,0.12082441515675936,-0.5108776796607427,0.20178984348960025,-0.34027771723175027,-0.6893526296907515,-0.07986432165268871,-0.24806140395726187,0.04138146521856984,-0.0028125265383101656,0.09441614546061337,0.19762423233473267,-0.24817399677106078,-0.11272090851429907,0.00279403531865151,-0.07516267999421629,0.2128860939065948,-0.0068837020635535056,-0.24683167669081812,0.005490157630102402,-0.03475832930106116,0.006242217023731899,-3.5509162015007366e-17,1.945395284275369e-16,1.057805124392966e-16,-7.204007479409203e-17,-1.2892822947405705e-16
300.84,[M-H+HCOOH]-,-1.381336668959298,-2.5142077396203875,-1.273090605687236,-0.4096890301795918,0.12668531019190923,-0.10053048095113708,0.9034337366605228,0.4305568419076507,-0.1465932006506187,-0.14813522558670134,-0.39737993992832304,0.28702357518199995,0.10180109488955777,0.016472597135074173,-0.01837740273303674,-0.029703520938841297,-0.10893866920614532,0.048802049299806464,0.003116022333907342,0.0333178381279238,0.013970218500171461,-0.025836327147677387,0.017657848722949725,-0.06017777064345826,-0.03106674395445261,-0.026625133429266982,0.001440203087739528,-1.9256021665658786e-16,-1.8039826122586505e-17,1.2959303683242618e-16,1.6744395010718223e-16,3.118064517526394e-17
321.11,[M-H+HCOOH]-,-0.6228559385613899,0.777785146878177,-0.23202271398249694,-0.16528079993786202,0.5786076638423392,0.04251138010153375,0.049416510656681345,0.1895795587192619,0.05234255625054962,-0.04459826549173178,-0.051737609447464576,-0.10708494350215597,-0.11409233188203338,-0.07472622560615129,0.03664331507675079,-0.014549714585068454,-0.07717145774237807,-0.14110270766389604,0.028828396650403355,0.0446872309008734,0.014936188949889085,-0.000512052844139784,-0.006323289376311798,0.02047208220811387,-0.020512058491376335,0.02473655781866023,-0.013314072859159497,-1.1532432516450972e-16,9.223670167397685e-17,-1.2179542415942209e-17,-5.171288150605236e-17,-2.0633398459123473e-17
333.51,[M-H+HCOOH]-,-0.6949953249067576,0.5719846195820625,0.2887934420179689,0.49107722482463473,0.4667331256438866,0.4649069561190527,-0.04901174238273189,0.16272451627707352,0.25522386096387334,-0.17367245562267133,-0.1214178201369587,0.15861023757708778,-0.07886832324350189,-0.4916591224751245,-0.013777602446264633,-0.669135222840686,0.387451980066509,-0.24223528527490223,0.6004589372590317,-0.3266260104896394,-0.46090931413942154,-0.20298937189801172,0.21072099261581617,0.03603815771920191,0.25829751131126355,-0.45100563793766174,-0.0035498821322557197,-1.108994658351785e-16,9.543896522091924e-17,-9.994010597068092e-19,-2.1633446950056682e-18,-1.2149162412684377e-18
